"","lagoslakeid","max_temp_degc","min_temp_degc","mean_temp_degc","climate8110norm_ppt_mmperyr","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_all_pct","streams_all_mperha","roads_mperha","area_ha","perimeter_m","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_kffact","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","elevation_max_m","elevation_mean_m","elevation_min_m","elevation_sd_m","reliefratio","topographicwetness","tri_m","nlcd_fordec41_pct","nlcd_forcon42_pct","nlcd_formix43_pct","nlcd_wetwood90_pct","nlcd_wetemerg95_pct"
"1",63,9.377083778,-2.962871552,3.207106352,734.234,0,0,0,0,0.212064477,11.6989045,366.6865255,19529.56635,13.0929181316,17.7340532396,894.908588649,0.2350122926,218.284530387,49.1670015068,37.8141637368,540.0407714844,494.9821790547,468.5199584961,19.3412222869,0.3699932852,10.9826124094,3.1059236548,0.0983284169,29.5476892822,34.9803343166,24.3854473943,0.1229105211
"2",223,9.243849754,-3.022675276,3.110587359,748.677,2.9489748032,2,0.000258926,0.0381783092,2.9033283927,2.632316,7724.215309,107221.8168,11.4478165452,19.5447781338,2026.04248378,0.1605669684,214.110258306,54.4714994895,34.0786653992,613.6000053687,557.6340368563,542.5103149634,12.345309839,0.2127414229,13.6146728773,0.5870259344,2.2715888308,17.2698997006,12.6614866675,61.9211816922,0.6383747073
"3",414,9.297613144,-3.027196646,3.13520813,741.161,0,0,0,0,1.1551146108,7.6043294,2302.396605,45908.81991,11.4545888721,17.8127437714,1874.38653188,0.1625755664,215.967842076,55.046485712,33.4467085887,553.6519775391,529.2912835664,515.3999633789,9.9840676394,0.3631526468,13.773297096,0.7272008554,0.2697947214,34.889540567,12.1446725318,46.7605083089,1.5992179863
"4",430,9.332740784,-2.94155097,3.195594788,739.502,18.5858209308,10,0.0040504841,0.7528157154,9.5108139208,14.008256,2468.840719,73582.99992,11.9271445358,16.9933901293,1773.5746181,0.1800000072,225.505581669,52.272657168,35.8044579906,546.3092424797,517.1243356538,500.7118003378,7.8280831545,0.3599442106,12.4847506248,2.1949668843,8.0024791279,21.4882059134,25.4766852601,34.7879981042,0.663531299
"5",2867,9.344161987,-2.94559288,3.199284554,738.496,0,0,0,0,0,0,36.47361166,8892.789686,15.2753164557,16.7183544304,1536.76265823,0.1800000072,235.306962025,49.914556962,34.5474683544,524.9505615234,511.2304836697,505.8906555176,4.1501037693,0.2801602563,11.8396654529,3.4840999113,32.5925925926,3.950617284,23.4567901235,36.049382716,0.2469135802
"6",3550,9.320251465,-2.944917917,3.187666655,740.826,0,0,0,0,0,41.6881437,24.78307611,4105.81484,11.6043956044,16.6263736264,1611.3992674,0.1800000072,249.523809524,51.7289377289,36.5824175824,528.8977050781,515.9545374161,508.25,5.3293797617,0.3731425544,11.7033906175,2.6055635827,0,7.6923076923,25.641025641,47.619047619,0.3663003663
"7",3839,9.281118393,-2.941599608,3.169759035,752.062,5.1543424962,4,0.0070823278,0.9126185732,6.7898456938,20.6108227,564.7860585,24893.68602,11.1288551591,20.5940578072,1821.06297433,0.181809485,211.326336186,53.3649281447,35.4484094946,554.3764389084,536.4647582014,525.7657034877,6.3888221413,0.3739524537,12.2456493388,2.3796795356,0.5744375299,51.2525929472,23.2806765598,18.2064783788,0.0319131961
"8",14101,9.267578125,-2.963897944,3.151839972,750.063,0,0,0,0,0,17.440088,7.705023795,2710.014794,14.5930232558,22.9651162791,1789.70930233,0.1800000072,232.790697674,53.5,31.9069767442,532.0383300781,530.8205694154,529.0700073242,0.925950253,0.5897478935,12.5676843177,1.1020148643,0,54.6511627907,9.3023255814,29.0697674419,0
"9",15139,9.199112892,-2.887644291,3.155734062,761.891,9.7992658417,3,0.0002663698,0.087007632,4.6427861598,4.0600221,11262.53597,87507.64571,12.188858924,20.9243443955,2641.66110226,0.1247365239,214.638127096,52.8011299525,35.0003601124,624.1815223045,586.0603295643,559.474484005,12.3863156721,0.4108648187,13.9381260126,0.5466923699,0.3100205349,13.8174873954,12.3185221289,70.1637196072,0.4858053742
"10",20349,9.293738365,-2.936616182,3.178560972,747.52,2.1565034755,2,0.0051278216,0.5529082588,0.5743274397,14.149558,390.0291714,24029.00564,11.80009298,21.1039051604,1657.73523942,0.1842027713,224.129009763,52.9825662483,35.2017666202,555.3538812734,530.3161215646,516.1027119017,7.6841828302,0.3621142985,11.9966809589,1.9925980985,3.1566820276,43.9170506912,21.9124423963,26.3594470046,0.1612903226
"11",21441,9.25713253,-2.915958166,3.170587301,755.759,9.8266127483,5,0.0038235523,0.7514513529,4.9698161009,14.9568925,1307.684485,36381.86304,11.6549364614,20.9851975981,1772.12323698,0.1800000072,218.773914258,52.1605222734,36.172392124,598.0950553044,553.2719608438,526.500936218,16.6387146034,0.3739277048,11.7346795981,2.3118879149,1.4993122421,43.7689133425,35.0275103164,11.9188445667,0.5502063274
"12",27717,9.259171486,-2.956948757,3.151111126,751.286,0,0,0,0,0.0332453998,42.5405153,139.6248458,12849.06866,13.0256959315,21.8329764454,1605.55960029,0.1800000072,250.63668808,52.9172019986,33.9850107066,558.3145141602,536.7936723246,529.0520019531,8.1389392134,0.2645593214,12.7113125617,1.2570271614,1.6741790084,31.4230521571,29.1693496458,27.3019961365,0.4507405023
"13",29814,9.269451141,-2.942255974,3.163597345,749.705,0,0,0,0,0,14.4447969,851.9476363,21842.81957,10.6927143915,20.3555038596,1960.96510521,0.1876874329,209.469176272,54.1742624511,35.1179020831,568.4282226563,541.0898443244,525.3500366211,6.5959350283,0.3653776807,13.0612377274,1.197958997,1.2689013429,29.8826266258,14.5817912657,46.3466215502,0.5075605372
"14",30871,9.314097405,-2.945139647,3.18447876,742.825,0,0,0,0,7.6029669734,14.2868517,158.8878466,12736.73047,11.3294596165,17.1783846601,1560.91748983,0.1800000072,207.901220221,54.3259732714,34.4073213248,532.8830566406,519.0396508706,511.6900024414,5.1463556674,0.3467951509,12.749881543,2.6363317386,12.6840317101,13.986409966,34.711211778,33.2389580974,0
"15",37142,9.182191849,-2.813802242,3.184194803,764.333,0,0,0,0,0,19.2948767,239.65326,16529.45233,12.4431955038,25.6684062625,1918.74909675,0.1800000072,251.295865114,51.5403452429,35.8795664392,608.1702880859,587.2912980703,574.0390014648,8.2526110893,0.3882741589,11.6528174516,2.4029826206,4.9981210071,38.7072529124,40.5862457723,6.0127771514,0.0375798572
"16",38199,9.267151833,-2.954395056,3.156378269,750.109,5.146035596,5,0.0047133533,0.4851016819,6.5502821001,11.2502085,1060.815856,40957.83711,12.3901779484,19.837927425,1797.60894976,0.1784461309,218.596127006,52.4371074669,35.1924284717,569.4918834644,542.535276496,528.9012051025,10.190677532,0.3358916861,13.6011328749,1.3360271715,2.9803854972,21.015538762,18.3493249554,46.8795109111,0.4924853528
"17",50749,9.295615196,-2.981711626,3.156951666,743.407,2.9370981854,5,0.0008464361,0.0497213213,3.7324728939,5.2708018,5907.120147,90460.36352,11.2228706745,18.7627683141,1927.0275762,0.1752904937,222.107692308,53.5921625544,35.1691696585,566.5539865475,535.6540762943,519.2740725117,7.8535037774,0.3464474104,13.635378221,0.8209629456,0.8090688851,22.6341210708,9.9480428456,60.9330956408,1.4810074507
"18",57275,9.18781662,-2.71326685,3.237275124,789.095,0,0,0,0,3.6467839627,15.2558228,517.2789761,24638.03638,11.6546455854,20.7997868183,2719.04814354,0.2094052181,222.612719844,54.397050986,33.9157932137,629.5620727539,592.6643938094,584.1499633789,6.6574153518,0.1874925113,12.8772425516,1.0788159961,0.2260869565,10.0695652174,33.547826087,52.7826086957,0.1391304348
"19",58010,9.285740852,-2.943542481,3.171098948,752.332,0,0,0,0,0,33.9976526,68.50346699,10541.85556,12.2578397213,20.7926829268,1474.57839721,0.1800000072,244.580139373,52.7386759582,34.9703832753,539.71875,528.8023181392,517.9071044922,3.6656705009,0.4995136036,11.8297507579,2.6049720818,0,46.5359477124,34.2483660131,8.2352941176,0.1307189542
"20",59050,9.341775894,-2.927977085,3.206899881,738.361,0,0,0,0,0,30.0306905,49.49186876,5468.193892,16.0769230769,14.2271062271,1590.09340659,0.1800000072,192.743589744,47.6245421245,36.4688644689,524.0696411133,510.3964655567,506.3479003906,2.7583175076,0.2284518902,11.9473998844,2.0612381395,20.4339963834,1.2658227848,11.9349005425,56.7811934901,0
"21",66287,9.313948631,-2.934430122,3.189759255,741.009,0,0,0,0,0,28.1465956,165.0522679,9215.395455,11.3324220886,20.5565882996,2214.26845271,0.1800000072,233.324767633,52.9103335156,35.6161837069,531.5475463867,517.5682447297,511.841217041,3.5834280977,0.2906186935,12.8076615352,1.7545779776,0.0546746856,62.1651175506,2.7884089666,28.0481137233,0
"22",66295,9.251486778,-2.951146364,3.150170088,751.538,0,0,0,0,3.6565026349,3.6368184,3443.200552,55651.44268,11.0799905368,20.3501393197,2139.78718259,0.1430990897,219.450134062,55.0400346985,33.876662636,615.5186767578,556.8627764294,529.0999755859,15.468046165,0.3212591773,13.3153044678,0.8161502495,0.7869281046,14.3006535948,20.4052287582,59.568627451,0.6117647059
"23",73430,9.30290699,-2.956474304,3.173216343,742.626,0,0,0,0,0,43.3928569,101.2286209,12365.90832,12.770212766,21.1478723404,1937.7212766,0.1800000072,239.637234043,51.7414893617,35.5734042553,537.9831542969,522.1661970634,518.1099243164,3.6884679197,0.2041073721,12.0476171914,2.1650394917,1.5859030837,45.7268722467,8.7224669604,30.6607929515,0
"24",102493,9.277695656,-2.934056282,3.171819925,748.251,8.3012123927,3,0.0098041419,2.712875482,5.2021997643,5.6869946,305.9931269,17568.66786,10.7667450059,19.0417156287,1672.15951821,0.1800000072,206.689482961,53.4048178613,35.7720329025,546.4644131151,528.437159071,520.3931840836,4.7898044187,0.3085383883,12.1712292056,2.3070749672,7.8437132785,23.9717978848,24.794359577,31.9623971798,0.1175088132
"25",113774,9.241625786,-2.909225702,3.166200161,755.958,0,0,0,0,2.7167454863,7.274003,2842.151458,44724.52549,12.0809575211,19.4611721379,1895.59772049,0.144634559,222.886945203,50.617626516,37.3272271255,631.8474121094,562.0801867002,539.5,16.427944288,0.2445134756,12.7579038337,1.0488732062,0.9690290709,21.9899930331,23.5290392045,46.0763822915,0.3958452087
"26",121215,9.243209839,-2.910712719,3.166248798,756.844,1.3457803619,3,0.0006208659,0.0278516361,4.9170335295,14.8092409,4831.961609,68153.51637,12.6109031309,21.739509415,2248.43673986,0.1809860177,228.292376748,50.9356502952,36.4338715986,627.4923853041,595.7569207542,538.4198567713,15.6285320592,0.6437120954,12.5601978771,1.3915376564,0.4488648004,22.130338418,30.2564675644,39.1667132294,0.5717904304
"27",127093,9.25091362,-2.916113615,3.167400122,756.027,0,0,0,0,7.605318709,44.7684163,35.83367042,4783.384633,10.3618090452,22.1859296482,1900.85929648,0.1800000072,215.876884422,53.1557788945,36.4824120603,554.9625854492,543.4903901833,534.2919921875,4.536523575,0.4449992257,11.432797777,2.8569369511,0,39.9497487437,44.2211055276,3.2663316583,0
"28",133329,9.318548203,-2.930206776,3.194170475,740.307,3.8927055276,4,0.0297002322,2.8903564493,12.7276854311,6.9180099,134.6790786,14530.94094,12.9650249822,19.0563882941,1674.73019272,0.1800000072,260.400428266,51.8872234118,35.0635260528,533.4721063666,516.0941115128,512.1900024414,3.6934772147,0.1834456351,12.9356299719,2.1052239502,1.1944260119,20.4379562044,20.9688122097,44.0610484406,0.9289980093
"29",139473,9.374008179,-2.994616509,3.189695835,736.379,0,0,0,0,0,0,39.45967661,5724.154878,11.1525423729,18.2663438257,958.493946731,0.1800000072,211.474576271,54.2251815981,34.6319612591,502.0237731934,493.6370986556,488.7755432129,3.0661639431,0.3669588654,11.3210723894,1.6745895014,0,62.4145785877,18.9066059226,16.6287015945,0.2277904328
