Lake County, Minnesota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
189501,-11.2,-8.7
189502,-7.0,-7.2
189503,5.2,-6.9
189504,29.0,3.9
189505,37.5,0.2
189506,49.2,1.9
189507,51.3,-1.3
189508,52.0,0.9
189509,45.0,1.1
189510,28.8,-3.5
189511,15.8,-3.6
189512,4.0,-1.6
189601,-3.7,-1.2
189602,-1.4,-1.6
189603,4.2,-7.9
189604,26.4,1.3
189605,43.0,5.7
189606,46.7,-0.6
189607,51.3,-1.3
189608,47.8,-3.3
189609,39.0,-4.9
189610,28.0,-4.3
189611,7.0,-12.4
189612,4.4,-1.2
189701,-8.8,-6.3
189702,-1.3,-1.5
189703,3.8,-8.3
189704,24.7,-0.4
189705,35.4,-1.9
189706,43.9,-3.4
189707,54.7,2.1
189708,46.5,-4.6
189709,44.3,0.4
189710,33.4,1.1
189711,9.9,-9.5
189712,-5.0,-10.6
189801,-2.6,-0.1
189802,-3.6,-3.8
189803,10.6,-1.5
189804,21.2,-3.9
189805,36.7,-0.6
189806,45.8,-1.5
189807,49.9,-2.7
189808,46.9,-4.2
189809,42.1,-1.8
189810,30.6,-1.7
189811,13.6,-5.8
189812,-4.4,-10.0
189901,-11.1,-8.6
189902,-13.7,-13.9
189903,-8.4,-20.5
189904,26.3,1.2
189905,36.2,-1.1
189906,45.9,-1.4
189907,50.6,-2.0
189908,52.7,1.6
189909,38.5,-5.4
189910,33.0,0.7
189911,24.6,5.2
189912,2.4,-3.2
190001,-0.4,2.1
190002,-13.4,-13.6
190003,4.8,-7.3
190004,28.7,3.6
190005,35.9,-1.4
190006,45.2,-2.1
190007,48.2,-4.4
190008,52.7,1.6
190009,40.6,-3.3
190010,39.3,7.0
190011,12.0,-7.4
190012,3.1,-2.5
190101,-5.5,-3.0
190102,-7.2,-7.4
190103,6.9,-5.2
190104,27.5,2.4
190105,38.6,1.3
190106,48.1,0.8
190107,55.6,3.0
190108,50.0,-1.1
190109,39.6,-4.3
190110,30.8,-1.5
190111,13.3,-6.1
190112,-2.3,-7.9
190201,-2.2,0.3
190202,-4.0,-4.2
190203,13.8,1.7
190204,23.8,-1.3
190205,39.4,2.1
190206,42.5,-4.8
190207,51.4,-1.2
190208,46.5,-4.6
190209,38.5,-5.4
190210,30.8,-1.5
190211,21.6,2.2
190212,0.0,-5.6
190301,-6.8,-4.3
190302,-6.3,-6.5
190303,14.2,2.1
190304,26.0,0.9
190305,37.6,0.3
190306,40.4,-6.9
190307,46.7,-5.9
190308,42.2,-8.9
190309,38.0,-5.9
190310,31.4,-0.9
190311,9.7,-9.7
190312,-8.4,-14.0
190401,-14.5,-12.0
190402,-17.0,-17.2
190403,5.3,-6.8
190404,22.6,-2.5
190405,35.4,-1.9
190406,45.7,-1.6
190407,48.8,-3.8
190408,46.9,-4.2
190409,39.7,-4.2
190410,33.1,0.8
190411,21.2,1.8
190412,-0.9,-6.5
190501,-11.8,-9.3
190502,-7.4,-7.6
190503,13.8,1.7
190504,25.8,0.7
190505,36.8,-0.5
190506,46.3,-1.0
190507,52.2,-0.4
190508,52.1,1.0
190509,46.2,2.3
190510,30.6,-1.7
190511,19.7,0.3
190512,6.1,0.5
190601,1.3,3.8
190602,-5.0,-5.2
190603,4.2,-7.9
190604,29.2,4.1
190605,36.3,-1.0
190606,47.3,0.0
190607,51.0,-1.6
190608,50.9,-0.2
190609,47.3,3.4
190610,30.9,-1.4
190611,21.6,2.2
190612,1.7,-3.9
190701,-13.2,-10.7
190702,-3.5,-3.7
190703,10.0,-2.1
190704,19.4,-5.7
190705,29.6,-7.7
190706,46.5,-0.8
190707,49.9,-2.7
190708,47.0,-4.1
190709,41.6,-2.3
190710,28.9,-3.4
190711,18.9,-0.5
190712,5.2,-0.4
190801,-0.7,1.8
190802,2.1,1.9
190803,9.3,-2.8
190804,26.2,1.1
190805,38.0,0.7
190806,47.2,-0.1
190807,51.0,-1.6
190808,47.8,-3.3
190809,44.6,0.7
190810,33.8,1.5
190811,20.6,1.2
190812,2.7,-2.9
190901,-6.0,-3.5
190902,-4.1,-4.3
190903,10.2,-1.9
190904,20.9,-4.2
190905,34.5,-2.8
190906,46.8,-0.5
190907,50.6,-2.0
190908,52.6,1.5
190909,41.3,-2.6
190910,31.7,-0.6
190911,22.5,3.1
190912,3.2,-2.4
191001,-1.8,0.7
191002,-7.5,-7.7
191003,19.7,7.6
191004,29.1,4.0
191005,33.9,-3.4
191006,50.1,2.8
191007,53.7,1.1
191008,49.2,-1.9
191009,41.7,-2.2
191010,32.6,0.3
191011,15.5,-3.9
191012,-3.1,-8.7
191101,-12.0,-9.5
191102,1.6,1.4
191103,12.3,0.2
191104,23.6,-1.5
191105,38.4,1.1
191106,49.4,2.1
191107,49.4,-3.2
191108,46.4,-4.7
191109,39.6,-4.3
191110,29.4,-2.9
191111,8.0,-11.4
191112,7.2,1.6
191201,-23.9,-21.4
191202,-7.1,-7.3
191203,0.8,-11.3
191204,23.8,-1.3
191205,35.8,-1.5
191206,44.5,-2.8
191207,50.1,-2.5
191208,46.3,-4.8
191209,42.1,-1.8
191210,31.1,-1.2
191211,18.7,-0.7
191212,3.3,-2.3
191301,-10.2,-7.7
191302,-10.5,-10.7
191303,0.9,-11.2
191304,25.9,0.8
191305,33.2,-4.1
191306,45.9,-1.4
191307,48.1,-4.5
191308,49.4,-1.7
191309,41.0,-2.9
191310,29.2,-3.1
191311,22.4,3.0
191312,12.7,7.1
191401,-1.1,1.4
191402,-18.6,-18.8
191403,5.4,-6.7
191404,19.6,-5.5
191405,37.4,0.1
191406,46.4,-0.9
191407,52.7,0.1
191408,47.0,-4.1
191409,42.2,-1.7
191410,33.2,0.9
191411,15.2,-4.2
191412,-5.1,-10.7
191501,-7.3,-4.8
191502,5.5,5.3
191503,8.4,-3.7
191504,32.7,7.6
191505,33.4,-3.9
191506,40.5,-6.8
191507,44.7,-7.9
191508,44.2,-6.9
191509,41.2,-2.7
191510,30.6,-1.7
191511,19.0,-0.4
191512,6.0,0.4
191601,-12.4,-9.9
191602,-9.2,-9.4
191603,0.5,-11.6
191604,25.6,0.5
191605,34.7,-2.6
191606,41.8,-5.5
191607,57.7,5.1
191608,49.3,-1.8
191609,38.9,-5.0
191610,27.7,-4.6
191611,16.2,-3.2
191612,-6.2,-11.8
191701,-14.7,-12.2
191702,-15.6,-15.8
191703,5.4,-6.7
191704,19.9,-5.2
191705,31.7,-5.6
191706,38.5,-8.8
191707,47.9,-4.7
191708,46.4,-4.7
191709,40.1,-3.8
191710,24.6,-7.7
191711,21.7,2.3
191712,-11.2,-16.8
191801,-13.7,-11.2
191802,-7.3,-7.5
191803,13.8,1.7
191804,22.4,-2.7
191805,34.4,-2.9
191806,45.4,-1.9
191807,49.0,-3.6
191808,48.7,-2.4
191809,34.7,-9.2
191810,31.7,-0.6
191811,22.1,2.7
191812,9.0,3.4
191901,1.9,4.4
191902,0.5,0.3
191903,8.2,-3.9
191904,25.9,0.8
191905,36.4,-0.9
191906,49.0,1.7
191907,52.8,0.2
191908,50.2,-0.9
191909,41.5,-2.4
191910,26.2,-6.1
191911,11.0,-8.4
191912,-8.4,-14.0
192001,-14.1,-11.6
192002,-3.5,-3.7
192003,9.7,-2.4
192004,18.3,-6.8
192005,35.7,-1.6
192006,46.0,-1.3
192007,48.2,-4.4
192008,47.9,-3.2
192009,43.9,0.0
192010,36.0,3.7
192011,15.8,-3.6
192012,8.1,2.5
192101,-0.1,2.4
192102,4.2,4.0
192103,8.8,-3.3
192104,27.4,2.3
192105,37.0,-0.3
192106,50.5,3.2
192107,57.4,4.8
192108,47.7,-3.4
192109,44.0,0.1
192110,31.9,-0.4
192111,11.6,-7.8
192112,1.3,-4.3
192201,-7.7,-5.2
192202,-7.5,-7.7
192203,10.9,-1.2
192204,25.3,0.2
192205,39.9,2.6
192206,45.8,-1.5
192207,48.0,-4.6
192208,49.1,-2.0
192209,41.7,-2.2
192210,31.3,-1.0
192211,24.5,5.1
192212,-3.9,-9.5
192301,-5.6,-3.1
192302,-12.1,-12.3
192303,-2.5,-14.6
192304,22.0,-3.1
192305,35.0,-2.3
192306,47.7,0.4
192307,52.1,-0.5
192308,44.3,-6.8
192309,41.5,-2.4
192310,30.2,-2.1
192311,21.9,2.5
192312,10.0,4.4
192401,-16.1,-13.6
192402,2.0,1.8
192403,10.7,-1.4
192404,24.0,-1.1
192405,32.0,-5.3
192406,42.6,-4.7
192407,46.3,-6.3
192408,44.7,-6.4
192409,38.2,-5.7
192410,35.1,2.8
192411,14.6,-4.8
192412,-10.5,-16.1
192501,-5.3,-2.8
192502,-1.6,-1.8
192503,9.4,-2.7
192504,27.0,1.9
192505,32.3,-5.0
192506,45.9,-1.4
192507,48.9,-3.7
192508,50.0,-1.1
192509,43.0,-0.9
192510,24.0,-8.3
192511,14.1,-5.3
192512,-1.5,-7.1
192601,-4.5,-2.0
192602,0.9,0.7
192603,3.2,-8.9
192604,19.7,-5.4
192605,35.9,-1.4
192606,44.1,-3.2
192607,48.0,-4.6
192608,49.7,-1.4
192609,39.1,-4.8
192610,29.4,-2.9
192611,11.8,-7.6
192612,-3.8,-9.4
192701,-8.4,-5.9
192702,0.0,-0.2
192703,15.0,2.9
192704,25.4,0.3
192705,34.9,-2.4
192706,44.1,-3.2
192707,47.4,-5.2
192708,43.7,-7.4
192709,45.0,1.1
192710,32.6,0.3
192711,13.1,-6.3
192712,-7.8,-13.4
192801,-2.1,0.4
192802,-0.3,-0.5
192803,7.7,-4.4
192804,19.5,-5.6
192805,37.4,0.1
192806,43.5,-3.8
192807,48.6,-4.0
192808,49.2,-1.9
192809,39.2,-4.7
192810,32.0,-0.3
192811,20.8,1.4
192812,8.0,2.4
192901,-17.9,-15.4
192902,-9.2,-9.4
192903,12.9,0.8
192904,25.0,-0.1
192905,33.2,-4.1
192906,43.4,-3.9
192907,50.5,-2.1
192908,47.5,-3.6
192909,39.5,-4.4
192910,32.4,0.1
192911,12.9,-6.5
192912,0.2,-5.4
193001,-13.7,-11.2
193002,4.3,4.1
193003,9.3,-2.8
193004,24.9,-0.2
193005,36.6,-0.7
193006,47.9,0.6
193007,49.9,-2.7
193008,49.4,-1.7
193009,40.3,-3.6
193010,30.5,-1.8
193011,18.4,-1.0
193012,5.6,0.0
193101,4.2,6.7
193102,9.6,9.4
193103,13.3,1.2
193104,25.0,-0.1
193105,35.9,-1.4
193106,47.5,0.2
193107,52.5,-0.1
193108,49.0,-2.1
193109,45.2,1.3
193110,37.3,5.0
193111,24.3,4.9
193112,13.9,8.3
193201,4.1,6.6
193202,-1.8,-2.0
193203,2.3,-9.8
193204,24.1,-1.0
193205,37.0,-0.3
193206,47.6,0.3
193207,51.4,-1.2
193208,51.0,-0.1
193209,39.2,-4.7
193210,29.2,-3.1
193211,12.7,-6.7
193212,-2.7,-8.3
193301,-0.4,2.1
193302,-8.7,-8.9
193303,9.1,-3.0
193304,24.6,-0.5
193305,37.2,-0.1
193306,47.9,0.6
193307,51.3,-1.3
193308,48.5,-2.6
193309,45.1,1.2
193310,28.0,-4.3
193311,12.0,-7.4
193312,-6.7,-12.3
193401,1.5,4.0
193402,-9.4,-9.6
193403,5.0,-7.1
193404,25.1,0.0
193405,38.3,1.0
193406,45.8,-1.5
193407,50.1,-2.5
193408,45.9,-5.2
193409,40.6,-3.3
193410,34.3,2.0
193411,22.7,3.3
193412,-2.4,-8.0
193501,-11.1,-8.6
193502,4.4,4.2
193503,11.4,-0.7
193504,23.6,-1.5
193505,34.3,-3.0
193506,44.1,-3.2
193507,54.4,1.8
193508,50.3,-0.8
193509,38.3,-5.6
193510,31.1,-1.2
193511,12.7,-6.7
193512,4.2,-1.4
193601,-11.2,-8.7
193602,-18.0,-18.2
193603,11.0,-1.1
193604,20.3,-4.8
193605,37.4,0.1
193606,43.9,-3.4
193607,52.9,0.3
193608,51.0,-0.1
193609,43.7,-0.2
193610,26.8,-5.5
193611,11.3,-8.1
193612,4.0,-1.6
193701,-16.0,-13.5
193702,-4.1,-4.3
193703,5.0,-7.1
193704,26.0,0.9
193705,37.6,0.3
193706,45.8,-1.5
193707,53.6,1.0
193708,53.9,2.8
193709,41.1,-2.8
193710,29.8,-2.5
193711,17.1,-2.3
193712,-3.8,-9.4
193801,-7.4,-4.9
193802,1.8,1.6
193803,16.8,4.7
193804,23.9,-1.2
193805,36.7,-0.6
193806,47.5,0.2
193807,52.6,0.0
193808,53.4,2.3
193809,42.8,-1.1
193810,34.9,2.6
193811,14.4,-5.0
193812,2.6,-3.0
193901,-0.4,2.1
193902,-12.4,-12.6
193903,4.8,-7.3
193904,20.8,-4.3
193905,37.1,-0.2
193906,46.6,-0.7
193907,51.7,-0.9
193908,51.6,0.5
193909,42.7,-1.2
193910,30.2,-2.1
193911,20.6,1.2
193912,13.2,7.6
194001,-6.6,-4.1
194002,4.4,4.2
194003,5.1,-7.0
194004,23.4,-1.7
194005,35.0,-2.3
194006,44.7,-2.6
194007,51.5,-1.1
194008,50.2,-0.9
194009,44.4,0.5
194010,34.8,2.5
194011,14.4,-5.0
194012,3.6,-2.0
194101,-0.8,1.7
194102,-0.4,-0.6
194103,9.6,-2.5
194104,30.7,5.6
194105,39.8,2.5
194106,47.9,0.6
194107,53.8,1.2
194108,49.6,-1.5
194109,44.0,0.1
194110,32.2,-0.1
194111,19.2,-0.2
194112,7.9,2.3
194201,0.1,2.6
194202,-0.6,-0.8
194203,17.0,4.9
194204,29.0,3.9
194205,35.1,-2.2
194206,46.1,-1.2
194207,50.1,-2.5
194208,50.0,-1.1
194209,39.3,-4.6
194210,31.8,-0.5
194211,14.9,-4.5
194212,-1.8,-7.4
194301,-11.2,-8.7
194302,-3.6,-3.8
194303,0.7,-11.4
194304,23.0,-2.1
194305,35.5,-1.8
194306,45.9,-1.4
194307,53.9,1.3
194308,50.6,-0.5
194309,38.3,-5.6
194310,32.3,0.0
194311,14.0,-5.4
194312,1.5,-4.1
194401,7.0,9.5
194402,-3.0,-3.2
194403,6.8,-5.3
194404,22.3,-2.8
194405,37.8,0.5
194406,46.0,-1.3
194407,50.4,-2.2
194408,50.2,-0.9
194409,42.7,-1.2
194410,31.1,-1.2
194411,24.4,5.0
194412,1.0,-4.6
194501,-5.4,-2.9
194502,-1.3,-1.5
194503,18.7,6.6
194504,23.8,-1.3
194505,31.7,-5.6
194506,43.0,-4.3
194507,49.9,-2.7
194508,50.2,-0.9
194509,40.2,-3.7
194510,28.3,-4.0
194511,15.1,-4.3
194512,-1.6,-7.2
194601,-4.7,-2.2
194602,-7.4,-7.6
194603,18.4,6.3
194604,26.5,1.4
194605,34.2,-3.1
194606,45.0,-2.3
194607,51.1,-1.5
194608,48.8,-2.3
194609,39.9,-4.0
194610,31.6,-0.7
194611,15.4,-4.0
194612,-1.0,-6.6
194701,-3.6,-1.1
194702,-7.0,-7.2
194703,7.6,-4.5
194704,20.3,-4.8
194705,31.6,-5.7
194706,42.6,-4.7
194707,49.8,-2.8
194708,51.8,0.7
194709,41.0,-2.9
194710,36.8,4.5
194711,14.4,-5.0
194712,2.4,-3.2
194801,-9.4,-6.9
194802,-6.1,-6.3
194803,8.4,-3.7
194804,26.9,1.8
194805,34.9,-2.4
194806,45.3,-2.0
194807,49.2,-3.4
194808,49.5,-1.6
194809,44.0,0.1
194810,32.4,0.1
194811,21.9,2.5
194812,3.1,-2.5
194901,-2.0,0.5
194902,-5.9,-6.1
194903,7.7,-4.4
194904,26.9,1.8
194905,36.0,-1.3
194906,48.8,1.5
194907,53.3,0.7
194908,52.6,1.5
194909,39.5,-4.4
194910,31.4,-0.9
194911,19.0,-0.4
194912,-1.4,-7.0
195001,-15.3,-12.8
195002,-3.2,-3.4
195003,3.2,-8.9
195004,17.7,-7.4
195005,33.5,-3.8
195006,44.0,-3.3
195007,49.1,-3.5
195008,43.7,-7.4
195009,42.2,-1.7
195010,33.8,1.5
195011,12.1,-7.3
195012,-4.3,-9.9
195101,-7.7,-5.2
195102,-0.3,-0.5
195103,5.5,-6.6
195104,24.7,-0.4
195105,39.0,1.7
195106,44.8,-2.5
195107,50.6,-2.0
195108,47.4,-3.7
195109,39.2,-4.7
195110,31.4,-0.9
195111,10.8,-8.6
195112,-0.1,-5.7
195201,-7.8,-5.3
195202,5.8,5.6
195203,8.7,-3.4
195204,27.4,2.3
195205,36.1,-1.2
195206,47.5,0.2
195207,50.8,-1.8
195208,47.9,-3.2
195209,41.9,-2.0
195210,25.8,-6.5
195211,19.5,0.1
195212,11.5,5.9
195301,-0.5,2.0
195302,-0.1,-0.3
195303,13.4,1.3
195304,25.0,-0.1
195305,34.9,-2.4
195306,47.1,-0.2
195307,50.8,-1.8
195308,52.8,1.7
195309,41.5,-2.4
195310,35.0,2.7
195311,22.5,3.1
195312,2.1,-3.5
195401,-10.4,-7.9
195402,8.4,8.2
195403,7.2,-4.9
195404,22.7,-2.4
195405,32.4,-4.9
195406,47.7,0.4
195407,51.1,-1.5
195408,48.3,-2.8
195409,41.6,-2.3
195410,30.5,-1.8
195411,21.9,2.5
195412,8.2,2.6
195501,-4.9,-2.4
195502,-4.8,-5.0
195503,0.6,-11.5
195504,31.2,6.1
195505,38.8,1.5
195506,49.0,1.7
195507,55.4,2.8
195508,53.9,2.8
195509,41.8,-2.1
195510,32.0,-0.3
195511,11.0,-8.4
195512,-3.7,-9.3
195601,0.5,3.0
195602,-3.6,-3.8
195603,5.9,-6.2
195604,21.7,-3.4
195605,33.6,-3.7
195606,48.7,1.4
195607,48.7,-3.9
195608,48.5,-2.6
195609,39.2,-4.7
195610,35.2,2.9
195611,17.2,-2.2
195612,1.2,-4.4
195701,-15.2,-12.7
195702,-4.4,-4.6
195703,8.1,-4.0
195704,24.0,-1.1
195705,36.0,-1.3
195706,45.2,-2.1
195707,52.9,0.3
195708,49.2,-1.9
195709,39.2,-4.7
195710,30.6,-1.7
195711,18.0,-1.4
195712,2.5,-3.1
195801,1.1,3.6
195802,-5.9,-6.1
