ID,Site,Date,Chloro,TP,TN,NH4N,NO2NO3N,ANCmg,ANCaueq,TSS,TSVS,DOC
824,Two Deer Lake,16-May-22,-99,9,276,24,12,40,799.5,1.4,1.6,4.46
825,Baird Lake,16-May-22,-99,17,1322,545,34,22.6,452.5,2.8,2.8,9.47
826,Gypsy Lake,16-May-22,-99,21,465,7,39,2.2,43.6,2.7,3.2,10.61
827,West Chub Lake,16-May-22,-99,26,622,5,0,19,379.1,2.9,2.8,11.55
828,Wampus Lake,16-May-22,-99,15,460,7,1,43.9,878,2.3,1.9,5.68
829,Grouse Lake,17-May-22,-99,18,732,16,97,10.7,213,3.8,1.5,19.35
830,Dunnigan Lake,17-May-22,-99,13,431,17,12,4.4,88,3,1.8,7.28
831,Fourth McDougal,17-May-22,-99,43,866,12,91,13.2,263.4,6.8,2.4,18.25
832,Slate Lake,17-May-22,-99,35,822,14,61,8.8,175.6,5.2,2.8,23.72
833,Middle McDougal,17-May-22,-99,40,889,15,89,10,200.4,2.1,2.7,20.72
834,South McDougal,17-May-22,-99,50,895,13,93,8.5,170.5,6.9,2.5,21.38
835,North McDougal,17-May-22,-99,32,820,12,42,12.1,241.2,4.9,3.4,25.13
836,Lake Gegoka,17-May-22,-99,20,602,18,34,14.8,295.1,5.4,3.3,15.75
837,Greenwood Lake,17-May-22,-99,24,879,10,70,4.8,96.4,7.1,4,24.89
838,Unnamed Lake,18-May-22,-99,16,873,17,14,8.1,161.2,0.9,0.1,28.44
839,Gander Lake,18-May-22,-99,10,383,7,2,19.4,388.2,1.9,1.6,6.87
840,Wadop Lake,18-May-22,-99,10,528,7,7,16.3,326.6,1.3,1,15.56
841,Eighteen Lake,18-May-22,-99,9,665,229,21,26.3,525.8,0.9,0.8,4.75
842,Teamster Lake,18-May-22,-99,23,537,6,0,23.9,476.8,2.3,1.6,7.7
843,Highlife Lake,19-May-22,-99,11,552,29,22,2.6,52.4,3.3,1.7,8.11
844,August Lake,19-May-22,-99,15,640,17,76,12.9,258.7,5.5,1.1,14.09
845,Cloquet Lake,19-May-22,-99,22,660,20,47,7.7,154,7.6,3.9,16.54
846,Stony Lake,20-May-22,-99,36,939,25,58,7.2,144.2,3.6,2.9,25.09
847,Kitigan Lake,20-May-22,-99,10,300,8,9,47.8,955.2,1.7,1.4,4.59
848,Mitawan Lake,20-May-22,-99,16,407,2,38,51.4,1026.5,2.1,2.4,4.31
849,Rat Lake,20-May-22,-99,17,805,24,36,15.8,315.2,2.1,1.7,19.68
850,Flathorn Lake,20-May-22,-99,16,763,19,33,15.3,305.2,1.9,2.5,20.12
851,Sand Lake,23-May-22,-99,25,776,22,70,17.3,345.1,3.3,1.8,18.73
852,Lil Chub Lake,23-May-22,-99,22,781,12,0,9,179.2,4.5,3,18.78
856,North McDougal,7-Jun-22,-99,22,888,27,17,10.3,204.8,3.5,2.3,29.25
857,Middle McDougal,7-Jun-22,-99,31,836,25,0,14.2,284,3.9,3.7,17.78
858,South McDougal,7-Jun-22,-99,33,987,19,0,10.7,213.5,3.6,2.3,25.35
859,Fourth McDougal,7-Jun-22,-99,31,822,13,0,13.7,272.9,2.9,2.9,17.1
860,Slate Lake,7-Jun-22,-99,30,953,15,1,14,279,4.4,2.6,26.21
863,Lake Gegoka,8-Jun-22,-99,14,663,12,0,15.8,315.2,2.2,2.5,20.04
864,August Lake,8-Jun-22,-99,10,584,29,59,13.2,263.8,1.5,1.7,13.68
865,Dunnigan Lake,8-Jun-22,-99,16,533,19,0,4.1,82.4,1.9,2,7.04
866,Baird Lake,8-Jun-22,-99,15,1295,357,18,23.7,474.4,3.3,3.6,11.31
867,Highlife Lake,8-Jun-22,-99,66,499,12,1,2,40.3,1.2,1.2,8.38
868,Two Deer Lake,8-Jun-22,-99,12,317,19,0,41.8,835.8,1.5,1.8,4.92
869,Gypsy Lake,8-Jun-22,-99,21,539,23,0,3,60.4,2.7,3,12.26
870,Kitigan Lake,8-Jun-22,-99,10,333,10,0,47.2,943.2,2.1,2.1,4.9
871,Mitawan Lake,8-Jun-22,-99,10,214,5,0,48.4,967.2,1.5,1.7,4.82
872,Grouse Lake,9-Jun-22,-99,20,706,21,2,20.1,401.2,6,5.2,19.58
873,Cloquet Lake,9-Jun-22,-99,20,650,18,1,11.7,233.8,2.6,4.1,17.42
874,Stony Lake,9-Jun-22,-99,39,903,23,14,10.4,208.2,3.7,2.4,27.73
875,Wampus Lake,9-Jun-22,-99,13,521,15,0,51.1,1020.3,1,1.3,6.61
876,Unnamed Lake,9-Jun-22,-99,26,951,12,11,10.3,206.5,3.7,3.4,31.84
877,Gander Lake,9-Jun-22,-99,15,422,10,0,17.8,355.7,2,1.7,6.76
878,Teamster Lake,9-Jun-22,-99,18,547,28,0,30.3,606,2.8,3,9.57
879,Sand Lake,9-Jun-22,-99,19,738,46,73,16.4,327.3,1.2,1.6,19.52
880,Greenwood Lake,9-Jun-22,-99,31,1016,23,20,5.3,105.5,4.1,4.2,27.34
886,Rat Lake,10-Jun-22,-99,20,683,20,5,23.1,461.2,2.9,2.1,19.2
887,Flathorn Lake,10-Jun-22,-99,95,680,17,7,24.1,482.2,1.9,1.5,18.92
888,Wadop Lake,10-Jun-22,-99,12,406,16,18,27.9,557.7,1.2,1,9.23
889,Eighteen Lake,10-Jun-22,-99,14,435,11,0,23.7,472.6,1.2,1.1,5.27
890,West Chub Lake,13-Jun-22,-99,19,718,22,0,25.1,502,1.8,1.3,14.53
891,Lil Chub Lake,13-Jun-22,-99,23,732,9,0,25.5,509.6,3.8,3.2,20.98
892,Fishtrap Lake,13-Jun-22,-99,41,876,18,0,5.9,118.7,4.8,4.9,15.49
934,Sand Lake,13-Jul-22,-99,23,704,21,74,18.5,369.3,2.3,1.6,18.76
935,Stony Lake,13-Jul-22,-99,43,1022,19,29,13,259.2,3.6,2.1,28.73
936,Wampus Lake,13-Jul-22,-99,12,681,19,0,55.2,1102.8,3.2,2.8,7.43
937,Cloquet Lake,13-Jul-22,-99,33,727,8,1,15.8,316,4.8,4.4,16.7
938,Kitigan Lake,13-Jul-22,-99,13,259,9,0,52.5,1049.7,1.3,1.2,4.86
939,Mitawan Lake,13-Jul-22,-99,11,225,5,0,45.4,906.5,1.3,1.1,4.59
940,Flathorn Lake,13-Jul-22,-99,24,538,10,20,42.3,845.8,2.5,2.2,12.11
941,Teamster Lake,13-Jul-22,-99,208,710,12,0,37.5,750.3,1.3,1.4,11.5
942,Gypsy Lake,13-Jul-22,-99,29,591,8,13,4.6,92.9,3.6,3.3,14.02
943,August Lake,13-Jul-22,-99,27,659,9,9,12.7,253.1,1.8,1.9,13.91
955,Two Deer Lake,15-Jul-22,-99,12,383,8,0,44.6,890.2,2.1,1.8,5.11
956,Wadop Lake,15-Jul-22,-99,11,385,12,24,34.2,684.4,2.6,1.9,6.33
957,Greenwood Lake,15-Jul-22,-99,28,921,15,0,7.2,143.8,3,2,28.43
958,West Chub Lake,15-Jul-22,-99,22,975,20,0,30.5,609.1,5.4,5.1,5.58
959,Lil Chub Lake,15-Jul-22,-99,20,851,12,0,15.5,309.5,4.7,4.9,24.24
960,Rat Lake,15-Jul-22,-99,16,459,16,0,40.5,810,1.4,1.6,11.77
961,Eighteen Lake,15-Jul-22,-99,13,460,13,0,24.4,487.6,2,1.5,16.6
962,Fishtrap Lake,14-Jul-22,-99,29,980,26,23,6,120.5,9.6,8.6,16.52
963,Unnamed Lake,14-Jul-22,-99,26,1038,47,68,34.6,692,3.3,1.3,30.36
964,Gander Lake,14-Jul-22,-99,12,485,6,6,22.2,443.6,4.4,3.3,7.28
965,North McDougal,14-Jul-22,-99,31,850,18,63,18.8,376.2,4.8,3.1,25.78
966,Middle McDougal,14-Jul-22,-99,27,917,36,4,18.3,364.8,5.8,2.4,15.94
967,South McDougal,14-Jul-22,-99,42,920,11,0,15.9,317.8,6,3.9,26.01
968,Dunnigan Lake,14-Jul-22,-99,10,484,31,14,4,80.6,2,0.8,6.79
969,Slate Lake,14-Jul-22,-99,31,816,13,10,30.3,605.2,6.5,2.4,21.16
970,Grouse Lake,18-Jul-22,-99,18,509,7,0,35.6,711,1.9,0,13.34
971,Lake Gegoka,18-Jul-22,-99,24,751,10,0,21.4,427.4,2.7,1.5,20.53
972,Baird Lake,18-Jul-22,-99,31,1265,15,0,26.6,530.9,14.6,12.7,12.97
973,Highlife Lake,18-Jul-22,-99,11,405,9,0,1.9,38.3,1.7,2.4,8.67
1066,Rat Lake,22-Aug-22,-99,23,1085,27,6,21.2,422.9,1.7,1.6,-99
1067,Flathorn Lake,22-Aug-22,-99,25,1124,19,15,21.8,436.3,3,2,-99
1068,Kitigan Lake,22-Aug-22,-99,11,271,6,0,50,999.4,0.9,0.9,-99
1069,Mitawan Lake,22-Aug-22,-99,11,297,6,0,51.2,1022.9,1.5,1.5,-99
1070,Grouse Lake,22-Aug-22,-99,24,953,17,3,25.1,501.9,2,1.9,-99
1071,Teamster Lake,22-Aug-22,-99,15,626,11,0,38.3,766,1.8,1.2,-99
1072,Sand Lake,22-Aug-22,-99,21,711,10,0,20,399.2,2.7,1.6,-99
1073,August Lake,22-Aug-22,-99,18,578,9,0,14.6,291.4,2.6,2,-99
1074,Gypsy Lake,22-Aug-22,-99,17,536,9,0,2.3,46.5,2.5,2.2,-99
1075,Slate Lake,22-Aug-22,-99,28,883,19,4,23.4,467,3.4,2.1,-99
1076,West Chub Lake,22-Aug-22,-99,17,871,14,0,37.4,746.6,3.1,3.1,-99
1077,Wampus Lake,22-Aug-22,-99,15,1844,1137,1,69.4,1387.3,3.4,3.5,-99
1078,Greenwood Lake,22-Aug-22,-99,24,1037,16,0,8.9,178.4,4,2.7,-99
1082,Eighteen Lake,23-Aug-22,-99,11,525,9,0,23.9,476.8,2.4,2.4,-99
1083,Highlife Lake,23-Aug-22,-99,10,455,10,0,4.8,95.5,1.8,1.4,-99
1084,Baird Lake,23-Aug-22,-99,19,1362,117,4,26.8,535.1,8.8,8.8,-99
1085,Unnamed Lake,23-Aug-22,-99,22,1269,24,25,11.7,234.4,2.6,2.1,-99
1086,Two Deer Lake,23-Aug-22,-99,13,467,13,0,39.9,797.8,2.4,2.4,-99
1087,Wadop Lake,23-Aug-22,-99,9,421,10,18,42.6,851.4,2,1.7,-99
1088,Gander Lake,23-Aug-22,-99,10,504,10,0,24.7,494,3.5,3.4,-99
1089,Cloquet Lake,23-Aug-22,-99,20,777,12,0,17.9,357.8,4.7,3,-99
1091,North McDougal,24-Aug-22,-99,26,1028,20,6,20.7,412.8,5.3,4.7,-99
1092,Middle McDougal,24-Aug-22,-99,17,793,12,0,18.4,367.5,3.8,2.7,-99
1093,South McDougal,24-Aug-22,-99,40,1273,31,0,17.5,349.4,6.1,3.9,-99
1094,Dunnigan Lake,24-Aug-22,-99,9,503,11,0,3.9,78.2,2.1,0.4,-99
1095,Lake Gegoka,24-Aug-22,-99,32,984,15,0,21.7,433,4.3,4,-99
1097,Lil Chub Lake,25-Aug-22,-99,17,849,18,0,16.7,332.7,5.5,5.2,-99
1098,Stony Lake,25-Aug-22,-99,37,1061,36,0,16.2,323.5,3.6,3.3,-99
1099,Fishtrap Lake,25-Aug-22,-99,30,1078,28,0,8.8,176.7,4.6,4.4,-99
