"Site","Month","ID","Date","Chloro","TP","TN","NH4N","NO2NO3N","ANCmg","ANCaueq","TSS","TSVS","DOC","lagoslakeid","Type","lake_connectivity_class","ConnClass","Group","Month_factor","SecchiDepth_m","zMax_m"
"August Lake",5,844,2022-05-19,-99,15,640,17,76,12.9,258.7,5.5,1.1,14.09,63,"Control","DrainageLk","Drainage","Control_Drainage","May",1.6,5.5
"August Lake",6,864,2022-06-08,-99,10,584,29,59,13.2,263.8,1.5,1.7,13.68,63,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.3,5.3
"August Lake",7,943,2022-07-13,-99,27,659,9,9,12.7,253.1,1.8,1.9,13.91,63,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.9,5
"August Lake",8,1073,2022-08-22,-99,18,578,9,0,14.6,291.4,2.6,2,-99,63,"Control","DrainageLk","Drainage","Control_Drainage","Aug",1.7,2.7
"Baird Lake",5,825,2022-05-16,-99,17,1322,545,34,22.6,452.5,2.8,2.8,9.47,139473,"Control","Isolated","Isolated","Control_Isolated","May",1.3,1.9
"Baird Lake",6,866,2022-06-08,-99,15,1295,357,18,23.7,474.4,3.3,3.6,11.31,139473,"Control","Isolated","Isolated","Control_Isolated","Jun",NA,1.9
"Baird Lake",7,972,2022-07-18,-99,31,1265,15,0,26.6,530.9,14.6,12.7,12.97,139473,"Control","Isolated","Isolated","Control_Isolated","Jul",1.3,1.9
"Baird Lake",8,1084,2022-08-23,-99,19,1362,117,4,26.8,535.1,8.8,8.8,-99,139473,"Control","Isolated","Isolated","Control_Isolated","Aug",1.6,1.6
"Cloquet Lake",5,845,2022-05-19,-99,22,660,20,47,7.7,154,7.6,3.9,16.54,57275,"Control","DrainageLk","Drainage","Control_Drainage","May",0.9,1.9
"Cloquet Lake",6,873,2022-06-09,-99,20,650,18,1,11.7,233.8,2.6,4.1,17.42,57275,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.3,1.5
"Cloquet Lake",7,937,2022-07-13,-99,33,727,8,1,15.8,316,4.8,4.4,16.7,57275,"Control","DrainageLk","Drainage","Control_Drainage","Jul",0.92,1.7
"Cloquet Lake",8,1089,2022-08-23,-99,20,777,12,0,17.9,357.8,4.7,3,-99,57275,"Control","DrainageLk","Drainage","Control_Drainage","Aug",1,2
"Dunnigan Lake",5,830,2022-05-17,-99,13,431,17,12,4.4,88,3,1.8,7.28,2867,"Control","Isolated","Isolated","Control_Isolated","May",NA,3.6
"Dunnigan Lake",6,865,2022-06-08,-99,16,533,19,0,4.1,82.4,1.9,2,7.04,2867,"Control","Isolated","Isolated","Control_Isolated","Jun",3.5,7
"Dunnigan Lake",7,968,2022-07-14,-99,10,484,31,14,4,80.6,2,0.8,6.79,2867,"Control","Isolated","Isolated","Control_Isolated","Jul",4.1,4.1
"Dunnigan Lake",8,1094,2022-08-24,-99,9,503,11,0,3.9,78.2,2.1,0.4,-99,2867,"Control","Isolated","Isolated","Control_Isolated","Aug",3.5,3.5
"Eighteen Lake",5,841,2022-05-18,-99,9,665,229,21,26.3,525.8,0.9,0.8,4.75,37142,"Control","Isolated","Isolated","Control_Isolated","May",3.2,5.1
"Eighteen Lake",6,889,2022-06-10,-99,14,435,11,0,23.7,472.6,1.2,1.1,5.27,37142,"Control","Isolated","Isolated","Control_Isolated","Jun",3.6,3.6
"Eighteen Lake",7,961,2022-07-15,-99,13,460,13,0,24.4,487.6,2,1.5,16.6,37142,"Control","Isolated","Isolated","Control_Isolated","Jul",3.3,3.7
"Eighteen Lake",8,1082,2022-08-23,-99,11,525,9,0,23.9,476.8,2.4,2.4,-99,37142,"Control","Isolated","Isolated","Control_Isolated","Aug",3,3
"Fishtrap Lake",6,892,2022-06-13,-99,41,876,18,0,5.9,118.7,4.8,4.9,15.49,51824,"Burned","Isolated","Isolated","Burned_Isolated","Jun",1.1,1.8
"Fishtrap Lake",7,962,2022-07-14,-99,29,980,26,23,6,120.5,9.6,8.6,16.52,51824,"Burned","Isolated","Isolated","Burned_Isolated","Jul",1,1.4
"Fishtrap Lake",8,1099,2022-08-25,-99,30,1078,28,0,8.8,176.7,4.6,4.4,-99,51824,"Burned","Isolated","Isolated","Burned_Isolated","Aug",0.7,1.3
"Flathorn Lake",5,850,2022-05-20,-99,16,763,19,33,15.3,305.2,1.9,2.5,20.12,121215,"Control","DrainageLk","Drainage","Control_Drainage","May",1.7,4.5
"Flathorn Lake",6,887,2022-06-10,-99,95,680,17,7,24.1,482.2,1.9,1.5,18.92,121215,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.1,3.5
"Flathorn Lake",7,940,2022-07-13,-99,24,538,10,20,42.3,845.8,2.5,2.2,12.11,121215,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.3,1.7
"Flathorn Lake",8,1067,2022-08-22,-99,25,1124,19,15,21.8,436.3,3,2,-99,121215,"Control","DrainageLk","Drainage","Control_Drainage","Aug",0.85,3.9
"Fourth McDougal",5,831,2022-05-17,-99,43,866,12,91,13.2,263.4,6.8,2.4,18.25,14101,"Burned","Headwater","Drainage","Burned_Drainage","May",1.1,8.1
"Fourth McDougal",6,859,2022-06-07,-99,31,822,13,0,13.7,272.9,2.9,2.9,17.1,14101,"Burned","Headwater","Drainage","Burned_Drainage","Jun",NA,NA
"Gander Lake",5,839,2022-05-18,-99,10,383,7,2,19.4,388.2,1.9,1.6,6.87,20349,"Control","DrainageLk","Drainage","Control_Drainage","May",1.8,1.8
"Gander Lake",6,877,2022-06-09,-99,15,422,10,0,17.8,355.7,2,1.7,6.76,20349,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.9,1.9
"Gander Lake",7,964,2022-07-14,-99,12,485,6,6,22.2,443.6,4.4,3.3,7.28,20349,"Control","DrainageLk","Drainage","Control_Drainage","Jul",2,2
"Gander Lake",8,1088,2022-08-23,-99,10,504,10,0,24.7,494,3.5,3.4,-99,20349,"Control","DrainageLk","Drainage","Control_Drainage","Aug",1.75,2.1
"Greenwood Lake",5,837,2022-05-17,-99,24,879,10,70,4.8,96.4,7.1,4,24.89,223,"Burned","Drainage","Drainage","Burned_Drainage","May",0.8,2
"Greenwood Lake",6,880,2022-06-09,-99,31,1016,23,20,5.3,105.5,4.1,4.2,27.34,223,"Burned","Drainage","Drainage","Burned_Drainage","Jun",0.4,1.7
"Greenwood Lake",7,957,2022-07-15,-99,28,921,15,0,7.2,143.8,3,2,28.43,223,"Burned","Drainage","Drainage","Burned_Drainage","Jul",0.7,1.4
"Greenwood Lake",8,1078,2022-08-22,-99,24,1037,16,0,8.9,178.4,4,2.7,-99,223,"Burned","Drainage","Drainage","Burned_Drainage","Aug",0.5,1.5
"Grouse Lake",5,829,2022-05-17,-99,18,732,16,97,10.7,213,3.8,1.5,19.35,3839,"Control","DrainageLk","Drainage","Control_Drainage","May",0.8,2.8
"Grouse Lake",6,872,2022-06-09,-99,20,706,21,2,20.1,401.2,6,5.2,19.58,3839,"Control","DrainageLk","Drainage","Control_Drainage","Jun",0.7,2.6
"Grouse Lake",7,970,2022-07-18,-99,18,509,7,0,35.6,711,1.9,0,13.34,3839,"Control","DrainageLk","Drainage","Control_Drainage","Jul",2,2.6
"Grouse Lake",8,1070,2022-08-22,-99,24,953,17,3,25.1,501.9,2,1.9,-99,3839,"Control","DrainageLk","Drainage","Control_Drainage","Aug",0.7,2.6
"Gypsy Lake",5,826,2022-05-16,-99,21,465,7,39,2.2,43.6,2.7,3.2,10.61,59050,"Control","Isolated","Isolated","Control_Isolated","May",1.1,3.8
"Gypsy Lake",6,869,2022-06-08,-99,21,539,23,0,3,60.4,2.7,3,12.26,59050,"Control","Isolated","Isolated","Control_Isolated","Jun",1.2,5
"Gypsy Lake",7,942,2022-07-13,-99,29,591,8,13,4.6,92.9,3.6,3.3,14.02,59050,"Control","Isolated","Isolated","Control_Isolated","Jul",1.4,4.1
"Gypsy Lake",8,1074,2022-08-22,-99,17,536,9,0,2.3,46.5,2.5,2.2,-99,59050,"Control","Isolated","Isolated","Control_Isolated","Aug",1.6,3.7
"Highlife Lake",5,843,2022-05-19,-99,11,552,29,22,2.6,52.4,3.3,1.7,8.11,3550,"Control","Isolated","Isolated","Control_Isolated","May",2.4,5.5
"Highlife Lake",6,867,2022-06-08,-99,66,499,12,1,2,40.3,1.2,1.2,8.38,3550,"Control","Isolated","Isolated","Control_Isolated","Jun",3.1,10
"Highlife Lake",7,973,2022-07-18,-99,11,405,9,0,1.9,38.3,1.7,2.4,8.67,3550,"Control","Isolated","Isolated","Control_Isolated","Jul",2.3,7
"Highlife Lake",8,1083,2022-08-23,-99,10,455,10,0,4.8,95.5,1.8,1.4,-99,3550,"Control","Isolated","Isolated","Control_Isolated","Aug",3,5
"Kitigan Lake",5,847,2022-05-20,-99,10,300,8,9,47.8,955.2,1.7,1.4,4.59,58010,"Control","DrainageLk","Drainage","Control_Drainage","May",2.1,2.2
"Kitigan Lake",6,870,2022-06-08,-99,10,333,10,0,47.2,943.2,2.1,2.1,4.9,58010,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.6,1.6
"Kitigan Lake",7,938,2022-07-13,-99,13,259,9,0,52.5,1049.7,1.3,1.2,4.86,58010,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.2,1.2
"Kitigan Lake",8,1068,2022-08-22,-99,11,271,6,0,50,999.4,0.9,0.9,-99,58010,"Control","DrainageLk","Drainage","Control_Drainage","Aug",2.2,2.2
"Lake Gegoka",5,836,2022-05-17,-99,20,602,18,34,14.8,295.1,5.4,3.3,15.75,113774,"Burned","Drainage","Drainage","Burned_Drainage","May",1.2,2.4
"Lake Gegoka",6,863,2022-06-08,-99,14,663,12,0,15.8,315.2,2.2,2.5,20.04,113774,"Burned","Drainage","Drainage","Burned_Drainage","Jun",0.7,2.4
"Lake Gegoka",7,971,2022-07-18,-99,24,751,10,0,21.4,427.4,2.7,1.5,20.53,113774,"Burned","Drainage","Drainage","Burned_Drainage","Jul",1,2.4
"Lake Gegoka",8,1095,2022-08-24,-99,32,984,15,0,21.7,433,4.3,4,-99,113774,"Burned","Drainage","Drainage","Burned_Drainage","Aug",0.5,2.7
"Lil Chub Lake",5,852,2022-05-23,-99,22,781,12,0,9,179.2,4.5,3,18.78,66287,"Burned","Isolated","Isolated","Burned_Isolated","May",1.2,1.7
"Lil Chub Lake",6,891,2022-06-13,-99,23,732,9,0,25.5,509.6,3.8,3.2,20.98,66287,"Burned","Isolated","Isolated","Burned_Isolated","Jun",1.2,1.8
"Lil Chub Lake",7,959,2022-07-15,-99,20,851,12,0,15.5,309.5,4.7,4.9,24.24,66287,"Burned","Isolated","Isolated","Burned_Isolated","Jul",0.7,1.4
"Lil Chub Lake",8,1097,2022-08-25,-99,17,849,18,0,16.7,332.7,5.5,5.2,-99,66287,"Burned","Isolated","Isolated","Burned_Isolated","Aug",0.6,1.2
"Middle McDougal",5,833,2022-05-17,-99,40,889,15,89,10,200.4,2.1,2.7,20.72,27717,"Burned","Headwater","Drainage","Burned_Drainage","May",1,2
"Middle McDougal",6,857,2022-06-07,-99,31,836,25,0,14.2,284,3.9,3.7,17.78,27717,"Burned","Headwater","Drainage","Burned_Drainage","Jun",0.9,1.4
"Middle McDougal",7,966,2022-07-14,-99,27,917,36,4,18.3,364.8,5.8,2.4,15.94,27717,"Burned","Headwater","Drainage","Burned_Drainage","Jul",1.25,1.6
"Middle McDougal",8,1092,2022-08-24,-99,17,793,12,0,18.4,367.5,3.8,2.7,-99,27717,"Burned","Headwater","Drainage","Burned_Drainage","Aug",1.1,1.4
"Mitawan Lake",5,848,2022-05-20,-99,16,407,2,38,51.4,1026.5,2.1,2.4,4.31,21441,"Control","Drainage","Drainage","Control_Drainage","May",2.4,6.2
"Mitawan Lake",6,871,2022-06-08,-99,10,214,5,0,48.4,967.2,1.5,1.7,4.82,21441,"Control","Drainage","Drainage","Control_Drainage","Jun",3.4,7.8
"Mitawan Lake",7,939,2022-07-13,-99,11,225,5,0,45.4,906.5,1.3,1.1,4.59,21441,"Control","Drainage","Drainage","Control_Drainage","Jul",3.65,6.1
"Mitawan Lake",8,1069,2022-08-22,-99,11,297,6,0,51.2,1022.9,1.5,1.5,-99,21441,"Control","Drainage","Drainage","Control_Drainage","Aug",3.5,7.25
"North McDougal",5,835,2022-05-17,-99,32,820,12,42,12.1,241.2,4.9,3.4,25.13,38199,"Burned","DrainageLk","Drainage","Burned_Drainage","May",1,3.2
"North McDougal",6,856,2022-06-07,-99,22,888,27,17,10.3,204.8,3.5,2.3,29.25,38199,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",0.9,2.8
"North McDougal",7,965,2022-07-14,-99,31,850,18,63,18.8,376.2,4.8,3.1,25.78,38199,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",0.8,2.8
"North McDougal",8,1091,2022-08-24,-99,26,1028,20,6,20.7,412.8,5.3,4.7,-99,38199,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",0.5,3
"Rat Lake",5,849,2022-05-20,-99,17,805,24,36,15.8,315.2,2.1,1.7,19.68,127093,"Control","DrainageLk","Drainage","Control_Drainage","May",1.5,1.6
"Rat Lake",6,886,2022-06-10,-99,20,683,20,5,23.1,461.2,2.9,2.1,19.2,127093,"Control","DrainageLk","Drainage","Control_Drainage","Jun",1.3,1.5
"Rat Lake",7,960,2022-07-15,-99,16,459,16,0,40.5,810,1.4,1.6,11.77,127093,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.2,1.2
"Rat Lake",8,1066,2022-08-22,-99,23,1085,27,6,21.2,422.9,1.7,1.6,-99,127093,"Control","DrainageLk","Drainage","Control_Drainage","Aug",0.68,1.75
"Sand Lake",5,851,2022-05-23,-99,25,776,22,70,17.3,345.1,3.3,1.8,18.73,414,"Burned","DrainageLk","Drainage","Burned_Drainage","May",1.3,3.9
"Sand Lake",6,879,2022-06-09,-99,19,738,46,73,16.4,327.3,1.2,1.6,19.52,414,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",3,4
"Sand Lake",7,934,2022-07-13,-99,23,704,21,74,18.5,369.3,2.3,1.6,18.76,414,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",1.25,3.75
"Sand Lake",8,1072,2022-08-22,-99,21,711,10,0,20,399.2,2.7,1.6,-99,414,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",1,3.75
"Slate Lake",5,832,2022-05-17,-99,35,822,14,61,8.8,175.6,5.2,2.8,23.72,430,"Burned","DrainageLk","Drainage","Burned_Drainage","May",1,NA
"Slate Lake",6,860,2022-06-07,-99,30,953,15,1,14,279,4.4,2.6,26.21,430,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",0.75,1.5
"Slate Lake",7,969,2022-07-14,-99,31,816,13,10,30.3,605.2,6.5,2.4,21.16,430,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",0.8,1.7
"Slate Lake",8,1075,2022-08-22,-99,28,883,19,4,23.4,467,3.4,2.1,-99,430,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",0.7,1.9
"South McDougal",5,834,2022-05-17,-99,50,895,13,93,8.5,170.5,6.9,2.5,21.38,66295,"Burned","Drainage","Drainage","Burned_Drainage","May",1,2.2
"South McDougal",6,858,2022-06-07,-99,33,987,19,0,10.7,213.5,3.6,2.3,25.35,66295,"Burned","Drainage","Drainage","Burned_Drainage","Jun",0.85,1.9
"South McDougal",7,967,2022-07-14,-99,42,920,11,0,15.9,317.8,6,3.9,26.01,66295,"Burned","Drainage","Drainage","Burned_Drainage","Jul",0.6,1.9
"South McDougal",8,1093,2022-08-24,-99,40,1273,31,0,17.5,349.4,6.1,3.9,-99,66295,"Burned","Drainage","Drainage","Burned_Drainage","Aug",0.4,2
"Stony Lake",5,846,2022-05-20,-99,36,939,25,58,7.2,144.2,3.6,2.9,25.09,50749,"Burned","DrainageLk","Drainage","Burned_Drainage","May",0.9,1.8
"Stony Lake",6,874,2022-06-09,-99,39,903,23,14,10.4,208.2,3.7,2.4,27.73,50749,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",0.8,1
"Stony Lake",7,935,2022-07-13,-99,43,1022,19,29,13,259.2,3.6,2.1,28.73,50749,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",0.53,1.5
"Stony Lake",8,1098,2022-08-25,-99,37,1061,36,0,16.2,323.5,3.6,3.3,-99,50749,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",0.5,1.2
"Teamster Lake",5,842,2022-05-18,-99,23,537,6,0,23.9,476.8,2.3,1.6,7.7,29814,"Burned","Isolated","Isolated","Burned_Isolated","May",1.4,1.4
"Teamster Lake",6,878,2022-06-09,-99,18,547,28,0,30.3,606,2.8,3,9.57,29814,"Burned","Isolated","Isolated","Burned_Isolated","Jun",1.7,1.7
"Teamster Lake",7,941,2022-07-13,-99,208,710,12,0,37.5,750.3,1.3,1.4,11.5,29814,"Burned","Isolated","Isolated","Burned_Isolated","Jul",1.3,1.3
"Teamster Lake",8,1071,2022-08-22,-99,15,626,11,0,38.3,766,1.8,1.2,-99,29814,"Burned","Isolated","Isolated","Burned_Isolated","Aug",1.4,1.4
"Two Deer Lake",5,824,2022-05-16,-99,9,276,24,12,40,799.5,1.4,1.6,4.46,30871,"Control","DrainageLk","Drainage","Control_Drainage","May",2.4,2.6
"Two Deer Lake",6,868,2022-06-08,-99,12,317,19,0,41.8,835.8,1.5,1.8,4.92,30871,"Control","DrainageLk","Drainage","Control_Drainage","Jun",NA,2.4
"Two Deer Lake",7,955,2022-07-15,-99,12,383,8,0,44.6,890.2,2.1,1.8,5.11,30871,"Control","DrainageLk","Drainage","Control_Drainage","Jul",1.94,1.94
"Two Deer Lake",8,1086,2022-08-23,-99,13,467,13,0,39.9,797.8,2.4,2.4,-99,30871,"Control","DrainageLk","Drainage","Control_Drainage","Aug",2.35,2.4
"Unnamed Lake",5,838,2022-05-18,-99,16,873,17,14,8.1,161.2,0.9,0.1,28.44,15139,"Burned","DrainageLk","Drainage","Burned_Drainage","May",0.8,7.1
"Unnamed Lake",6,876,2022-06-09,-99,26,951,12,11,10.3,206.5,3.7,3.4,31.84,15139,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",0.5,4.4
"Unnamed Lake",7,963,2022-07-14,-99,26,1038,47,68,34.6,692,3.3,1.3,30.36,15139,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",0.5,8
"Unnamed Lake",8,1085,2022-08-23,-99,22,1269,24,25,11.7,234.4,2.6,2.1,-99,15139,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",0.5,4.5
"Wadop Lake",5,840,2022-05-18,-99,10,528,7,7,16.3,326.6,1.3,1,15.56,102493,"Control","Drainage","Drainage","Control_Drainage","May",1.5,1.9
"Wadop Lake",6,888,2022-06-10,-99,12,406,16,18,27.9,557.7,1.2,1,9.23,102493,"Control","Drainage","Drainage","Control_Drainage","Jun",2.7,2.7
"Wadop Lake",7,956,2022-07-15,-99,11,385,12,24,34.2,684.4,2.6,1.9,6.33,102493,"Control","Drainage","Drainage","Control_Drainage","Jul",2.15,2.15
"Wadop Lake",8,1087,2022-08-23,-99,9,421,10,18,42.6,851.4,2,1.7,-99,102493,"Control","Drainage","Drainage","Control_Drainage","Aug",2,2
"Wampus Lake",5,828,2022-05-16,-99,15,460,7,1,43.9,878,2.3,1.9,5.68,73430,"Burned","Isolated","Isolated","Burned_Isolated","May",0.9,1.5
"Wampus Lake",6,875,2022-06-09,-99,13,521,15,0,51.1,1020.3,1,1.3,6.61,73430,"Burned","Isolated","Isolated","Burned_Isolated","Jun",1.3,1.3
"Wampus Lake",7,936,2022-07-13,-99,12,681,19,0,55.2,1102.8,3.2,2.8,7.43,73430,"Burned","Isolated","Isolated","Burned_Isolated","Jul",0.8,0.8
"Wampus Lake",8,1077,2022-08-22,-99,15,1844,1137,1,69.4,1387.3,3.4,3.5,-99,73430,"Burned","Isolated","Isolated","Burned_Isolated","Aug",1.3,1.3
"West Chub Lake",5,827,2022-05-16,-99,26,622,5,0,19,379.1,2.9,2.8,11.55,133329,"Burned","DrainageLk","Drainage","Burned_Drainage","May",1.1,1.5
"West Chub Lake",6,890,2022-06-13,-99,19,718,22,0,25.1,502,1.8,1.3,14.53,133329,"Burned","DrainageLk","Drainage","Burned_Drainage","Jun",1.3,1.3
"West Chub Lake",7,958,2022-07-15,-99,22,975,20,0,30.5,609.1,5.4,5.1,5.58,133329,"Burned","DrainageLk","Drainage","Burned_Drainage","Jul",1.4,1.9
"West Chub Lake",8,1076,2022-08-22,-99,17,871,14,0,37.4,746.6,3.1,3.1,-99,133329,"Burned","DrainageLk","Drainage","Burned_Drainage","Aug",1.2,2.5
