,Date,AirTemp_F,FeelsLike,DewPoint,WindSpeed_mph,WindGust_mph,WindDirection,HourlyRain_inhr,DailyRain_in,Rain24hr_in,RelativePressure_inHg,OutdoorHumidity_pct,AbsolutePressure_inHg
High Datetime,7/8/2022,2022-07-08T14:46:00-05:00,2022-07-08T14:46:00-05:00,2022-07-08T09:01:00-05:00,2022-07-08T12:16:00-05:00,2022-07-08T12:16:00-05:00,,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T23:46:00-05:00,2022-07-08T05:46:00-05:00,2022-07-08T23:46:00-05:00
Low,7/8/2022,49.8,49.8,45.7,0,0,,0,0,0,28.43,0,28.43
Low Datetime,7/8/2022,2022-07-08T23:46:00-05:00,2022-07-08T23:46:00-05:00,2022-07-08T05:16:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T02:31:00-05:00,,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T00:01:00-05:00,2022-07-08T01:01:00-05:00,2022-07-08T00:01:00-05:00
Average,7/9/2022,63.8,63.4,48.6,0.5,3.2,N,0,0,0,30.21,63,28.5
High,7/9/2022,81.1,80,55.3,2.5,10.5,,0,0,0,30.34,99,28.56
High Datetime,7/9/2022,2022-07-09T14:46:00-05:00,2022-07-09T15:46:00-05:00,2022-07-09T08:31:00-05:00,2022-07-09T16:16:00-05:00,2022-07-09T13:31:00-05:00,,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T06:16:00-05:00,2022-07-09T04:46:00-05:00,2022-07-09T01:01:00-05:00
Low,7/9/2022,43,43,42.5,0,0,,0,0,0,30.09,31,28.38
Low Datetime,7/9/2022,2022-07-09T05:46:00-05:00,2022-07-09T05:46:00-05:00,2022-07-09T05:46:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T01:01:00-05:00,2022-07-09T17:16:00-05:00,2022-07-09T13:16:00-05:00,2022-07-09T23:46:00-05:00
Average,7/10/2022,70.3,70.8,64.1,3.2,10.1,N,0.01,0.08,0.08,29.88,81,28.21
High,7/10/2022,79.7,80.7,69.8,6.3,20.8,,0.41,0.19,0.19,30.09,96,28.38
High Datetime,7/10/2022,2022-07-10T11:01:00-05:00,2022-07-10T11:01:00-05:00,2022-07-10T15:01:00-05:00,2022-07-10T15:16:00-05:00,2022-07-10T09:16:00-05:00,,2022-07-10T13:16:00-05:00,2022-07-10T15:01:00-05:00,2022-07-10T14:46:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T14:01:00-05:00,2022-07-10T01:01:00-05:00
Low,7/10/2022,60.8,60.8,51.7,0.2,3.6,,0,0,0,29.71,68,28.05
Low Datetime,7/10/2022,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T00:01:00-05:00,2022-07-10T00:31:00-05:00,2022-07-10T14:01:00-05:00,,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T01:01:00-05:00,2022-07-10T14:31:00-05:00,2022-07-10T12:01:00-05:00,2022-07-10T14:31:00-05:00
Average,7/11/2022,65.5,65.5,61.2,2.7,8.4,N,0,0.02,0.13,29.72,86,28.04
High,7/11/2022,73.6,73.2,64.8,4.7,14.1,,0.06,0.04,0.23,29.79,99,28.1
High Datetime,7/11/2022,2022-07-11T14:17:00-05:00,2022-07-11T14:17:00-05:00,2022-07-11T01:31:00-05:00,2022-07-11T10:46:00-05:00,2022-07-11T17:01:00-05:00,,2022-07-11T11:31:00-05:00,2022-07-11T12:17:00-05:00,2022-07-11T12:01:00-05:00,2022-07-11T21:47:00-05:00,2022-07-11T04:46:00-05:00,2022-07-11T21:47:00-05:00
Low,7/11/2022,59.5,59.5,56.2,0.2,2.5,,0,0,0.04,29.66,55,28.01
Low Datetime,7/11/2022,2022-07-11T23:47:00-05:00,2022-07-11T23:47:00-05:00,2022-07-11T14:32:00-05:00,2022-07-11T12:01:00-05:00,2022-07-11T12:01:00-05:00,,2022-07-11T01:02:00-05:00,2022-07-11T01:02:00-05:00,2022-07-11T15:02:00-05:00,2022-07-11T13:32:00-05:00,2022-07-11T14:17:00-05:00,2022-07-11T13:02:00-05:00
Average,7/12/2022,62,62,58,1.6,5.3,N,0.01,0.09,0.11,29.87,87,28.17
High,7/12/2022,74.1,74.1,63.4,4.3,12.3,,0.47,0.21,0.21,30.01,99,28.28
High Datetime,7/12/2022,2022-07-12T11:47:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T13:32:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T12:32:00-05:00,,2022-07-12T12:47:00-05:00,2022-07-12T15:17:00-05:00,2022-07-12T15:02:00-05:00,2022-07-12T23:47:00-05:00,2022-07-12T04:32:00-05:00,2022-07-12T23:47:00-05:00
Low,7/12/2022,54,54,53.4,0,0,,0,0,0,29.79,62,28.09
Low Datetime,7/12/2022,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T06:32:00-05:00,2022-07-12T20:02:00-05:00,,2022-07-12T01:02:00-05:00,2022-07-12T01:02:00-05:00,2022-07-12T12:02:00-05:00,2022-07-12T00:01:00-05:00,2022-07-12T11:47:00-05:00,2022-07-12T00:01:00-05:00
Average,7/13/2022,60.1,59.9,51.3,0.4,3,N,0,0,0.12,30.11,76,28.39
High,7/13/2022,75,74.2,56.1,1.8,7.8,,0,0,0.21,30.21,100,28.45
High Datetime,7/13/2022,2022-07-13T15:32:00-05:00,2022-07-13T15:32:00-05:00,2022-07-13T18:02:00-05:00,2022-07-13T14:32:00-05:00,2022-07-13T09:32:00-05:00,,2022-07-13T01:02:00-05:00,2022-07-13T01:02:00-05:00,2022-07-13T01:02:00-05:00,2022-07-13T23:32:00-05:00,2022-07-13T04:02:00-05:00,2022-07-13T22:17:00-05:00
Low,7/13/2022,48.4,48.4,44.9,0,0,,0,0,0,30.02,40,28.29
Low Datetime,7/13/2022,2022-07-13T23:47:00-05:00,2022-07-13T23:47:00-05:00,2022-07-13T23:32:00-05:00,2022-07-13T01:02:00-05:00,2022-07-13T03:32:00-05:00,,2022-07-13T01:02:00-05:00,2022-07-13T01:02:00-05:00,2022-07-13T15:17:00-05:00,2022-07-13T00:02:00-05:00,2022-07-13T15:17:00-05:00,2022-07-13T00:02:00-05:00
Average,7/14/2022,61,60.6,48.4,0.5,3.7,N,0,0,0,30.15,67,28.43
High,7/14/2022,75.6,74.5,59.7,2.7,11.4,,0,0,0,30.27,99,28.49
High Datetime,7/14/2022,2022-07-14T15:32:00-05:00,2022-07-14T15:32:00-05:00,2022-07-14T19:17:00-05:00,2022-07-14T12:02:00-05:00,2022-07-14T13:32:00-05:00,,2022-07-14T01:02:00-05:00,2022-07-14T01:02:00-05:00,2022-07-14T01:02:00-05:00,2022-07-14T06:02:00-05:00,2022-07-14T05:32:00-05:00,2022-07-14T06:02:00-05:00
Low,7/14/2022,43,43,42.4,0,0,,0,0,0,30.06,34,28.38
Low Datetime,7/14/2022,2022-07-14T05:17:00-05:00,2022-07-14T05:17:00-05:00,2022-07-14T04:47:00-05:00,2022-07-14T01:02:00-05:00,2022-07-14T01:02:00-05:00,,2022-07-14T01:02:00-05:00,2022-07-14T01:02:00-05:00,2022-07-14T01:02:00-05:00,2022-07-14T17:17:00-05:00,2022-07-14T15:17:00-05:00,2022-07-14T19:32:00-05:00
Average,7/15/2022,70.2,70.4,57.4,0.8,3.6,N,0,0,0,30.02,66,28.34
High,7/15/2022,86.2,86.3,63.2,3.4,10.5,,0,0,0,30.12,97,28.39
High Datetime,7/15/2022,2022-07-15T15:47:00-05:00,2022-07-15T15:47:00-05:00,2022-07-15T20:32:00-05:00,2022-07-15T16:47:00-05:00,2022-07-15T16:17:00-05:00,,2022-07-15T01:02:00-05:00,2022-07-15T01:02:00-05:00,2022-07-15T01:02:00-05:00,2022-07-15T02:02:00-05:00,2022-07-15T23:47:00-05:00,2022-07-15T02:02:00-05:00
Low,7/15/2022,55.2,55.2,45.2,0,0,,0,0,0,29.93,42,28.3
Low Datetime,7/15/2022,2022-07-15T04:17:00-05:00,2022-07-15T04:17:00-05:00,2022-07-15T00:02:00-05:00,2022-07-15T01:02:00-05:00,2022-07-15T02:17:00-05:00,,2022-07-15T01:02:00-05:00,2022-07-15T01:02:00-05:00,2022-07-15T01:02:00-05:00,2022-07-15T16:17:00-05:00,2022-07-15T16:17:00-05:00,2022-07-15T16:17:00-05:00
Average,7/16/2022,70.3,70.6,61.3,0.4,1.9,N,0,0,0,29.99,76,28.31
High,7/16/2022,85.6,84.6,66.8,2.2,7.6,,0,0,0,30.08,99,28.36
High Datetime,7/16/2022,2022-07-16T16:32:00-05:00,2022-07-16T16:32:00-05:00,2022-07-16T10:02:00-05:00,2022-07-16T15:02:00-05:00,2022-07-16T15:47:00-05:00,,2022-07-16T01:02:00-05:00,2022-07-16T01:02:00-05:00,2022-07-16T01:02:00-05:00,2022-07-16T01:17:00-05:00,2022-07-16T01:17:00-05:00,2022-07-16T01:17:00-05:00
Low,7/16/2022,55,55,54.7,0,0,,0,0,0,29.9,36,28.26
Low Datetime,7/16/2022,2022-07-16T05:17:00-05:00,2022-07-16T05:17:00-05:00,2022-07-16T05:17:00-05:00,2022-07-16T01:02:00-05:00,2022-07-16T01:02:00-05:00,,2022-07-16T01:02:00-05:00,2022-07-16T01:02:00-05:00,2022-07-16T01:02:00-05:00,2022-07-16T16:32:00-05:00,2022-07-16T15:32:00-05:00,2022-07-16T17:17:00-05:00
Average,7/17/2022,75,75.6,63.4,1.2,4.7,N,0,0,0,29.89,71,28.23
High,7/17/2022,87.6,88.6,66.9,4.3,13,,0,0,0,29.99,99,28.3
High Datetime,7/17/2022,2022-07-17T13:32:00-05:00,2022-07-17T15:47:00-05:00,2022-07-17T09:17:00-05:00,2022-07-17T16:47:00-05:00,2022-07-17T16:32:00-05:00,,2022-07-17T01:02:00-05:00,2022-07-17T01:02:00-05:00,2022-07-17T01:02:00-05:00,2022-07-17T05:47:00-05:00,2022-07-17T03:47:00-05:00,2022-07-17T00:02:00-05:00
Low,7/17/2022,59.5,59.5,58.6,0,0,,0,0,0,29.79,38,28.17
Low Datetime,7/17/2022,2022-07-17T05:32:00-05:00,2022-07-17T05:32:00-05:00,2022-07-17T13:02:00-05:00,2022-07-17T01:02:00-05:00,2022-07-17T01:02:00-05:00,,2022-07-17T01:02:00-05:00,2022-07-17T01:02:00-05:00,2022-07-17T01:02:00-05:00,2022-07-17T18:32:00-05:00,2022-07-17T13:17:00-05:00,2022-07-17T18:32:00-05:00
Average,7/18/2022,72.8,74.1,66.9,1.2,4.9,N,0.01,0.13,0.13,29.78,83,28.13
High,7/18/2022,85.8,90.2,71.8,4.9,22.4,,0.38,0.15,0.15,29.96,99,28.26
High Datetime,7/18/2022,2022-07-18T18:32:00-05:00,2022-07-18T18:02:00-05:00,2022-07-18T20:02:00-05:00,2022-07-18T02:32:00-05:00,2022-07-18T02:32:00-05:00,,2022-07-18T02:47:00-05:00,2022-07-18T03:17:00-05:00,2022-07-18T03:02:00-05:00,2022-07-18T02:47:00-05:00,2022-07-18T23:47:00-05:00,2022-07-18T02:47:00-05:00
Low,7/18/2022,60.4,60.4,59.8,0,0,,0,0,0,29.68,53,28.04
Low Datetime,7/18/2022,2022-07-18T06:17:00-05:00,2022-07-18T06:17:00-05:00,2022-07-18T06:17:00-05:00,2022-07-18T01:47:00-05:00,2022-07-18T19:32:00-05:00,,2022-07-18T01:17:00-05:00,2022-07-18T01:17:00-05:00,2022-07-18T01:17:00-05:00,2022-07-18T18:17:00-05:00,2022-07-18T18:32:00-05:00,2022-07-18T22:47:00-05:00
Average,7/19/2022,72.5,73.7,68.3,1.2,6.2,N,0,0.01,0.03,29.54,87,27.89
High,7/19/2022,83.3,87.9,71.4,7.6,22.4,,0.06,0.03,0.15,29.71,99,28.05
High Datetime,7/19/2022,2022-07-19T12:47:00-05:00,2022-07-19T12:47:00-05:00,2022-07-19T15:47:00-05:00,2022-07-19T19:47:00-05:00,2022-07-19T19:47:00-05:00,,2022-07-19T15:02:00-05:00,2022-07-19T20:02:00-05:00,2022-07-19T01:02:00-05:00,2022-07-19T00:17:00-05:00,2022-07-19T01:17:00-05:00,2022-07-19T00:17:00-05:00
Low,7/19/2022,61.7,61.7,60.8,0,0,,0,0,0,29.4,64,27.76
Low Datetime,7/19/2022,2022-07-19T23:47:00-05:00,2022-07-19T23:47:00-05:00,2022-07-19T23:47:00-05:00,2022-07-19T01:02:00-05:00,2022-07-19T01:02:00-05:00,,2022-07-19T01:02:00-05:00,2022-07-19T01:02:00-05:00,2022-07-19T03:17:00-05:00,2022-07-19T17:32:00-05:00,2022-07-19T13:02:00-05:00,2022-07-19T18:32:00-05:00
Average,7/20/2022,66.1,66.1,60.9,2.5,8.3,N,0,0.02,0.05,29.51,85,27.85
High,7/20/2022,78.8,79.1,67.2,6.7,20.1,,0.03,0.04,0.07,29.65,100,27.97
High Datetime,7/20/2022,2022-07-20T16:47:00-05:00,2022-07-20T16:47:00-05:00,2022-07-20T14:47:00-05:00,2022-07-20T17:02:00-05:00,2022-07-20T16:47:00-05:00,,2022-07-20T07:17:00-05:00,2022-07-20T14:02:00-05:00,2022-07-20T13:32:00-05:00,2022-07-20T21:32:00-05:00,2022-07-20T08:02:00-05:00,2022-07-20T21:32:00-05:00
Low,7/20/2022,56.5,56.5,55.9,0,0,,0,0,0.03,29.42,52,27.75
Low Datetime,7/20/2022,2022-07-20T05:47:00-05:00,2022-07-20T05:47:00-05:00,2022-07-20T05:17:00-05:00,2022-07-20T01:02:00-05:00,2022-07-20T01:02:00-05:00,,2022-07-20T01:02:00-05:00,2022-07-20T01:02:00-05:00,2022-07-20T01:02:00-05:00,2022-07-20T01:17:00-05:00,2022-07-20T18:17:00-05:00,2022-07-20T01:17:00-05:00
Average,7/21/2022,68.6,68.4,55.4,3.1,9.3,N,0,0,0.02,29.7,65,28.04
High,7/21/2022,79,78.5,59.9,7.4,22.1,,0,0,0.04,29.78,99,28.09
High Datetime,7/21/2022,2022-07-21T15:47:00-05:00,2022-07-21T14:32:00-05:00,2022-07-21T08:47:00-05:00,2022-07-21T15:32:00-05:00,2022-07-21T16:02:00-05:00,,2022-07-21T01:02:00-05:00,2022-07-21T01:02:00-05:00,2022-07-21T01:02:00-05:00,2022-07-21T23:32:00-05:00,2022-07-21T05:32:00-05:00,2022-07-21T22:32:00-05:00
Low,7/21/2022,53.8,53.8,51.4,0,0,,0,0,0,29.64,39,27.97
Low Datetime,7/21/2022,2022-07-21T05:32:00-05:00,2022-07-21T05:32:00-05:00,2022-07-21T17:02:00-05:00,2022-07-21T03:47:00-05:00,2022-07-21T04:02:00-05:00,,2022-07-21T01:02:00-05:00,2022-07-21T01:02:00-05:00,2022-07-21T13:47:00-05:00,2022-07-21T00:32:00-05:00,2022-07-21T15:47:00-05:00,2022-07-21T00:32:00-05:00
Average,7/22/2022,68.6,68.6,57.7,2.9,8.7,N,0,0.03,0.03,29.76,71,28.1
High,7/22/2022,81.5,81.8,62,7.6,25.5,,0.03,0.04,0.04,29.88,100,28.17
High Datetime,7/22/2022,2022-07-22T16:17:00-05:00,2022-07-22T16:17:00-05:00,2022-07-22T08:47:00-05:00,2022-07-22T13:47:00-05:00,2022-07-22T15:17:00-05:00,,2022-07-22T02:17:00-05:00,2022-07-22T08:47:00-05:00,2022-07-22T08:32:00-05:00,2022-07-22T23:32:00-05:00,2022-07-22T06:17:00-05:00,2022-07-22T23:02:00-05:00
Low,7/22/2022,52.9,52.9,52.6,0,0,,0,0,0,29.71,45,28.07
Low Datetime,7/22/2022,2022-07-22T05:47:00-05:00,2022-07-22T05:47:00-05:00,2022-07-22T05:47:00-05:00,2022-07-22T01:17:00-05:00,2022-07-22T03:47:00-05:00,,2022-07-22T01:02:00-05:00,2022-07-22T01:02:00-05:00,2022-07-22T01:02:00-05:00,2022-07-22T13:17:00-05:00,2022-07-22T16:47:00-05:00,2022-07-22T01:02:00-05:00
Average,7/23/2022,63.2,63.2,58.7,0.6,3,N,0,0,0.01,29.84,86,28.15
High,7/23/2022,73,73.3,62.9,4.7,12.1,,0.03,0.01,0.04,29.95,100,28.24
High Datetime,7/23/2022,2022-07-23T13:02:00-05:00,2022-07-23T13:47:00-05:00,2022-07-23T19:47:00-05:00,2022-07-23T05:47:00-05:00,2022-07-23T05:47:00-05:00,,2022-07-23T18:02:00-05:00,2022-07-23T18:17:00-05:00,2022-07-23T01:02:00-05:00,2022-07-23T05:32:00-05:00,2022-07-23T04:47:00-05:00,2022-07-23T05:47:00-05:00
Low,7/23/2022,52.7,52.7,52.4,0,0,,0,0,0,29.77,65,28.1
Low Datetime,7/23/2022,2022-07-23T03:32:00-05:00,2022-07-23T03:32:00-05:00,2022-07-23T03:32:00-05:00,2022-07-23T01:02:00-05:00,2022-07-23T01:02:00-05:00,,2022-07-23T01:02:00-05:00,2022-07-23T01:02:00-05:00,2022-07-23T08:47:00-05:00,2022-07-23T16:17:00-05:00,2022-07-23T12:17:00-05:00,2022-07-23T16:17:00-05:00
Average,7/24/2022,58.5,58.5,52.8,2.9,9.6,N,0,0.03,0.04,29.9,81,28.2
High,7/24/2022,64.2,64.2,59.5,6.7,19.7,,0.16,0.06,0.07,30.05,100,28.31
High Datetime,7/24/2022,2022-07-24T12:32:00-05:00,2022-07-24T12:32:00-05:00,2022-07-24T01:32:00-05:00,2022-07-24T14:32:00-05:00,2022-07-24T12:32:00-05:00,,2022-07-24T11:17:00-05:00,2022-07-24T12:02:00-05:00,2022-07-24T11:17:00-05:00,2022-07-24T22:02:00-05:00,2022-07-24T01:02:00-05:00,2022-07-24T22:02:00-05:00
Low,7/24/2022,50.4,50.4,37.5,0,0,,0,0,0.01,29.8,0,28.1
Low Datetime,7/24/2022,2022-07-24T22:17:00-05:00,2022-07-24T22:17:00-05:00,2022-07-24T22:32:00-05:00,2022-07-24T01:02:00-05:00,2022-07-24T01:02:00-05:00,,2022-07-24T01:02:00-05:00,2022-07-24T01:02:00-05:00,2022-07-24T01:02:00-05:00,2022-07-24T01:17:00-05:00,2022-07-24T22:47:00-05:00,2022-07-24T01:17:00-05:00
Average,7/25/2022,61.2,60.8,49.4,2.2,6.6,N,0,0,0.03,30.02,69,28.31
High,7/25/2022,75,74,53.3,4.7,14.5,,0,0,0.06,30.08,98,28.34
High Datetime,7/25/2022,2022-07-25T14:17:00-05:00,2022-07-25T14:17:00-05:00,2022-07-25T09:47:00-05:00,2022-07-25T12:02:00-05:00,2022-07-25T15:17:00-05:00,,2022-07-25T01:02:00-05:00,2022-07-25T01:02:00-05:00,2022-07-25T01:02:00-05:00,2022-07-25T06:47:00-05:00,2022-07-25T06:47:00-05:00,2022-07-25T08:02:00-05:00
Low,7/25/2022,48,48,45.9,0,0,,0,0,0,29.94,38,28.27
Low Datetime,7/25/2022,2022-07-25T04:32:00-05:00,2022-07-25T04:32:00-05:00,2022-07-25T15:17:00-05:00,2022-07-25T01:02:00-05:00,2022-07-25T21:02:00-05:00,,2022-07-25T01:02:00-05:00,2022-07-25T01:02:00-05:00,2022-07-25T11:32:00-05:00,2022-07-25T18:17:00-05:00,2022-07-25T15:17:00-05:00,2022-07-25T23:02:00-05:00
Average,7/26/2022,59.8,59.8,57.6,1.7,6.1,N,0.01,0.12,0.13,29.88,92,28.18
High,7/26/2022,71.2,71.9,66.1,5.1,16.3,,0.28,0.26,0.26,30.02,100,28.27
High Datetime,7/26/2022,2022-07-26T15:17:00-05:00,2022-07-26T15:17:00-05:00,2022-07-26T15:02:00-05:00,2022-07-26T09:47:00-05:00,2022-07-26T10:02:00-05:00,,2022-07-26T11:17:00-05:00,2022-07-26T17:47:00-05:00,2022-07-26T17:17:00-05:00,2022-07-26T00:02:00-05:00,2022-07-26T22:17:00-05:00,2022-07-26T00:02:00-05:00
Low,7/26/2022,47.1,47.1,46.6,0,0,,0,0,0,29.78,74,28.1
Low Datetime,7/26/2022,2022-07-26T01:17:00-05:00,2022-07-26T01:17:00-05:00,2022-07-26T01:17:00-05:00,2022-07-26T01:02:00-05:00,2022-07-26T01:02:00-05:00,,2022-07-26T01:02:00-05:00,2022-07-26T01:02:00-05:00,2022-07-26T01:02:00-05:00,2022-07-26T16:02:00-05:00,2022-07-26T10:02:00-05:00,2022-07-26T16:32:00-05:00
Average,7/27/2022,61.3,61.2,55.2,1.9,6.2,N,0,0.03,0.17,29.78,83,28.09
High,7/27/2022,74.7,74.1,60.4,6.5,19,,0.22,0.1,0.26,29.84,100,28.13
High Datetime,7/27/2022,2022-07-27T15:02:00-05:00,2022-07-27T15:02:00-05:00,2022-07-27T09:47:00-05:00,2022-07-27T17:17:00-05:00,2022-07-27T18:17:00-05:00,,2022-07-27T18:32:00-05:00,2022-07-27T19:02:00-05:00,2022-07-27T01:02:00-05:00,2022-07-27T01:02:00-05:00,2022-07-27T01:02:00-05:00,2022-07-27T00:02:00-05:00
Low,7/27/2022,50,50,50,0,0,,0,0,0.03,29.69,48,28.04
Low Datetime,7/27/2022,2022-07-27T05:02:00-05:00,2022-07-27T05:02:00-05:00,2022-07-27T05:02:00-05:00,2022-07-27T01:02:00-05:00,2022-07-27T01:02:00-05:00,,2022-07-27T01:02:00-05:00,2022-07-27T01:02:00-05:00,2022-07-27T17:32:00-05:00,2022-07-27T14:32:00-05:00,2022-07-27T15:17:00-05:00,2022-07-27T14:32:00-05:00
Average,7/28/2022,58.5,58.5,54.7,2.8,9.2,N,0,0.04,0.11,29.87,87,28.17
High,7/28/2022,67.1,67.1,59.5,5.4,19.9,,0.22,0.11,0.18,29.98,98,28.25
High Datetime,7/28/2022,2022-07-28T15:32:00-05:00,2022-07-28T15:32:00-05:00,2022-07-28T17:32:00-05:00,2022-07-28T14:02:00-05:00,2022-07-28T11:17:00-05:00,,2022-07-28T17:02:00-05:00,2022-07-28T18:17:00-05:00,2022-07-28T18:02:00-05:00,2022-07-28T22:17:00-05:00,2022-07-28T23:17:00-05:00,2022-07-28T22:17:00-05:00
Low,7/28/2022,52.3,52.3,51.5,0,0,,0,0,0.09,29.82,67,28.11
Low Datetime,7/28/2022,2022-07-28T22:47:00-05:00,2022-07-28T22:47:00-05:00,2022-07-28T22:47:00-05:00,2022-07-28T21:47:00-05:00,2022-07-28T22:02:00-05:00,,2022-07-28T01:02:00-05:00,2022-07-28T01:02:00-05:00,2022-07-28T13:17:00-05:00,2022-07-28T01:02:00-05:00,2022-07-28T14:17:00-05:00,2022-07-28T01:02:00-05:00
Average,7/29/2022,60.7,60.6,53.8,1.6,6,N,0,0,0.07,30.04,80,28.33
High,7/29/2022,72.7,72.3,58.4,4,14.5,,0,0,0.11,30.1,100,28.37
High Datetime,7/29/2022,2022-07-29T16:32:00-05:00,2022-07-29T16:32:00-05:00,2022-07-29T20:17:00-05:00,2022-07-29T11:17:00-05:00,2022-07-29T10:02:00-05:00,,2022-07-29T01:02:00-05:00,2022-07-29T01:02:00-05:00,2022-07-29T01:02:00-05:00,2022-07-29T22:17:00-05:00,2022-07-29T02:02:00-05:00,2022-07-29T22:02:00-05:00
Low,7/29/2022,49.5,49.5,49.5,0,0,,0,0,0,29.98,55,28.25
Low Datetime,7/29/2022,2022-07-29T04:47:00-05:00,2022-07-29T04:47:00-05:00,2022-07-29T04:47:00-05:00,2022-07-29T02:32:00-05:00,2022-07-29T20:32:00-05:00,,2022-07-29T01:02:00-05:00,2022-07-29T01:02:00-05:00,2022-07-29T18:17:00-05:00,2022-07-29T00:02:00-05:00,2022-07-29T13:47:00-05:00,2022-07-29T00:02:00-05:00
Average,7/30/2022,67.2,67.2,56.5,1.7,5.8,N,0,0,0,30.03,72,28.34
High,7/30/2022,82.4,82,63.2,4.9,14.5,,0,0,0,30.15,100,28.41
High Datetime,7/30/2022,2022-07-30T15:47:00-05:00,2022-07-30T15:47:00-05:00,2022-07-30T23:47:00-05:00,2022-07-30T11:17:00-05:00,2022-07-30T15:17:00-05:00,,2022-07-30T01:02:00-05:00,2022-07-30T01:02:00-05:00,2022-07-30T01:02:00-05:00,2022-07-30T05:32:00-05:00,2022-07-30T04:17:00-05:00,2022-07-30T07:17:00-05:00
Low,7/30/2022,48.4,48.4,48.1,0,0,,0,0,0,29.93,42,28.27
Low Datetime,7/30/2022,2022-07-30T03:47:00-05:00,2022-07-30T03:47:00-05:00,2022-07-30T03:47:00-05:00,2022-07-30T01:02:00-05:00,2022-07-30T01:02:00-05:00,,2022-07-30T01:02:00-05:00,2022-07-30T01:02:00-05:00,2022-07-30T01:02:00-05:00,2022-07-30T17:17:00-05:00,2022-07-30T14:47:00-05:00,2022-07-30T23:17:00-05:00
Average,7/31/2022,68.9,69,62,2.1,8.5,N,0.03,0.12,0.13,29.82,80,28.15
